n,coverage,se,nominal,z,stratum,value,target,policy,backend
155,0.9806451612903225,0.011065852423530408,0.95,2.769344838284556,ess_stratum,Q3,mu,entropy_vector,particle
254,0.937007874015748,0.015243963313808537,0.95,-0.8522800610837985,ess_stratum,Q4,mu,entropy_vector,particle
14,0.42857142857142855,0.13226001425322162,0.95,-3.9424505915314483,overlap_status,no_overlap,sigma,entropy_vector,particle
586,0.9419795221843004,0.009657452335574149,0.95,-0.8304962361714583,overlap_status,overlap,sigma,entropy_vector,particle
107,0.9719626168224299,0.015958851386924617,0.95,1.3762028538234479,info_stratum,Q1,sigma,entropy_vector,particle
75,0.9066666666666666,0.03359012200478434,0.95,-1.2900618023108472,info_stratum,Q2,sigma,entropy_vector,particle
131,0.9694656488549618,0.015032281940708794,0.95,1.2949230816544939,info_stratum,Q3,sigma,entropy_vector,particle
287,0.9024390243902439,0.017514835090581757,0.95,-2.7154680797040998,info_stratum,Q4,sigma,entropy_vector,particle
97,0.8247422680412371,0.03860218189274741,0.95,-3.24483554600048,ess_stratum,Q1,sigma,entropy_vector,particle
94,0.9468085106382979,0.023146654282653962,0.95,-0.1378812385897947,ess_stratum,Q2,sigma,entropy_vector,particle
155,0.9548387096774194,0.016679473221932483,0.95,0.2900996699977784,ess_stratum,Q3,sigma,entropy_vector,particle
254,0.9488188976377953,0.013827052840312585,0.95,-0.0854196751719363,ess_stratum,Q4,sigma,entropy_vector,particle
14,0.7857142857142857,0.10966421051124836,0.95,-1.4980795787415377,overlap_status,no_overlap,q0.5,entropy_vector,particle
586,0.9488054607508533,0.009104405639477368,0.95,-0.1312045284941049,overlap_status,overlap,q0.5,entropy_vector,particle
107,0.9439252336448598,0.022241324452375952,0.95,-0.27312970359061534,info_stratum,Q1,q0.5,entropy_vector,particle
75,0.92,0.03132624033192194,0.95,-0.9576635971035897,info_stratum,Q2,q0.5,entropy_vector,particle
131,0.9541984732824428,0.01826516871820695,0.95,0.22986227760698077,info_stratum,Q3,q0.5,entropy_vector,particle
287,0.9477351916376306,0.013137333848969614,0.95,-0.1723948244298398,info_stratum,Q4,q0.5,entropy_vector,particle
97,0.9072164948453608,0.0294581174512516,0.95,-1.4523502808840003,ess_stratum,Q1,q0.5,entropy_vector,particle
94,0.9468085106382979,0.023146654282653962,0.95,-0.1378812385897947,ess_stratum,Q2,q0.5,entropy_vector,particle
155,0.9806451612903225,0.011065852423530408,0.95,2.769344838284556,ess_stratum,Q3,q0.5,entropy_vector,particle
254,0.937007874015748,0.015243963313808537,0.95,-0.8522800610837985,ess_stratum,Q4,q0.5,entropy_vector,particle
14,0.5714285714285714,0.13226001425322165,0.95,-2.8623271417968046,overlap_status,no_overlap,q0.95,entropy_vector,particle
586,0.9539249146757679,0.008660468013092401,0.95,0.4531989114023031,overlap_status,overlap,q0.95,entropy_vector,particle
107,0.9719626168224299,0.015958851386924617,0.95,1.3762028538234479,info_stratum,Q1,q0.95,entropy_vector,particle
75,0.9466666666666667,0.025945812478802534,0.95,-0.12847288309266086,info_stratum,Q2,q0.95,entropy_vector,particle
131,0.9694656488549618,0.015032281940708794,0.95,1.2949230816544939,info_stratum,Q3,q0.95,entropy_vector,particle
287,0.9233449477351916,0.0157040414278476,0.95,-1.6973371082390034,info_stratum,Q4,q0.95,entropy_vector,particle
97,0.8969072164948454,0.030874648709435893,0.95,-1.7196238896453702,ess_stratum,Q1,q0.95,entropy_vector,particle
94,0.9468085106382979,0.023146654282653962,0.95,-0.1378812385897947,ess_stratum,Q2,q0.95,entropy_vector,particle
155,0.9612903225806452,0.01549427330077134,0.95,0.7286771287352444,ess_stratum,Q3,q0.95,entropy_vector,particle
254,0.952755905511811,0.013312135548104318,0.95,0.20702204404788296,ess_stratum,Q4,q0.95,entropy_vector,particle
14,0.5714285714285714,0.13226001425322165,0.95,-2.8623271417968046,overlap_status,no_overlap,q0.99,entropy_vector,particle
586,0.947098976109215,0.009246575379528523,0.95,-0.3137403602643717,overlap_status,overlap,q0.99,entropy_vector,particle
107,0.9532710280373832,0.020403723121389748,0.95,0.16031525314878017,info_stratum,Q1,q0.99,entropy_vector,particle
75,0.9333333333333333,0.028803291992923818,0.95,-0.5786375623578427,info_stratum,Q2,q0.99,entropy_vector,particle
131,0.9694656488549618,0.015032281940708794,0.95,1.2949230816544939,info_stratum,Q3,q0.99,entropy_vector,particle
287,0.9198606271777003,0.016026660469501974,0.95,-1.8805772343934977,info_stratum,Q4,q0.99,entropy_vector,particle
97,0.865979381443299,0.0345902513467411,0.95,-2.429025962097177,ess_stratum,Q1,q0.99,entropy_vector,particle
94,0.9361702127659575,0.025213038145123257,0.95,-0.5485172851617435,ess_stratum,Q2,q0.99,entropy_vector,particle
155,0.9548387096774194,0.016679473221932483,0.95,0.2900996699977784,ess_stratum,Q3,q0.99,entropy_vector,particle
254,0.9566929133858267,0.012771705757854725,0.95,0.5240422471924374,ess_stratum,Q4,q0.99,entropy_vector,particle
