replicate,r_prior,n_r,build_seconds,boundary_mass,q0.5_dmean_sd,q0.5_dsd_sd,q0.95_dmean_sd,q0.95_dsd_sd,q0.99_dmean_sd,q0.99_dsd_sd,max_delta_sd,rich_err_sd
0,heavy_tail,17,4.53545618057251,1.2802534664127617e-15,0.0002083391465502693,0.0003405393916737764,0.0015835964432990395,0.0013105423205573537,0.004932012840525713,0.004859060806957364,0.004932012840525713,0.0013131864573680387
0,heavy_tail,33,9.075891971588135,1.2796489491063797e-15,4.174069696815695e-05,6.824010746235099e-05,0.00031735706596045193,0.00026315586817619245,0.0009885941451950638,0.0009796332183392821,0.0009885941451950638,0.00032953138173168797
0,heavy_tail,65,18.08952498435974,1.2794974779461289e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,reference_uniform,5,1.3565499782562256,4.26576659528499e-15,5.5222691709371815e-05,0.0010479276432037948,0.0059707608948817836,0.006749707598893651,0.02278225769273123,0.04057797135188127,0.04057797135188127,0.009981851631634973
1,reference_uniform,9,2.6833724975585938,4.260250819842711e-15,1.3589281125255197e-05,0.0002583209593569782,0.0014730744757169702,0.0016791917754541857,0.005627420509626101,0.010323280105870525,0.010323280105870525,0.0026091602703077993
1,reference_uniform,17,5.35955023765564,4.258874062039801e-15,3.2321087890658343e-06,6.147065340803721e-05,0.00035061012344400616,0.00040050295711718884,0.0013397955799040286,0.002476415202469914,0.002476415202469914,0.0006597385314111873
1,reference_uniform,33,10.69181752204895,4.258529954419874e-15,6.46247511807785e-07,1.2292415165359753e-05,7.011593505404524e-05,8.013541051674907e-05,0.00026795580911339386,0.000496217486848251,0.000496217486848251,0.000165405828949417
1,reference_uniform,65,21.342921495437622,4.258443930523072e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,near_probit,5,1.4032797813415527,5.2646739808903515e-15,0.007682583148936519,0.013805359378131345,0.019294710259289718,0.01950884781293332,0.09305151452006205,0.031526381489985475,0.09305151452006205,0.02131109889191703
1,near_probit,9,2.837151527404785,5.215537938776078e-15,0.002508950639781628,0.004417947947021173,0.006152890828506212,0.006138847250580001,0.029661673063505575,0.0085003471970301,0.029661673063505575,0.0073720422733631495
1,near_probit,17,5.631383657455444,5.197588198931829e-15,0.0006460948199334736,0.0011310050379269366,0.0015747875116271881,0.0015640078604154141,0.007590967095534338,0.0020537435188222844,0.007590967095534338,0.002015535635752671
1,near_probit,33,11.274360179901123,5.19261512991239e-15,0.00013186410626620638,0.00023047696986510922,0.0003209102627161585,0.000318315040074275,0.001546850919139019,0.00041192207479296414,0.001546850919139019,0.0005156169730463397
1,near_probit,65,22.519636392593384,5.191338739083961e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,heavy_tail,5,1.419616460800171,6.063528604462338e-15,0.0013448186874515243,0.005165191443034577,0.02071646467143358,0.016842929914462495,0.07637996158201343,0.06551108558035705,0.07637996158201343,0.018591738817724635
1,heavy_tail,9,2.7532265186309814,6.050666915842883e-15,0.0003400258065305955,0.0013171426922923973,0.005301418088968879,0.004412389687391589,0.01958653687148115,0.01825556801224099,0.01958653687148115,0.004937525447773823
1,heavy_tail,17,5.427896022796631,6.047260519524503e-15,8.143700446826376e-05,0.00031613403278976134,0.0012735034975444846,0.00106639289781865,0.004707534731406706,0.004484418862281463,0.004707534731406706,0.001253468697202491
1,heavy_tail,33,10.721407175064087,6.046396534156904e-15,1.6311527041565955e-05,6.335435383838785e-05,0.0002552683377821662,0.00021408132329307663,0.0009437292889902135,0.0009039850287994878,0.0009437292889902135,0.0003145764296634045
1,heavy_tail,65,21.401132822036743,6.046179755031237e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,reference_uniform,5,1.130009412765503,1.66350428071148e-14,0.0007423040955972162,0.00022958875025627843,0.004282166530649001,0.006278752787152582,0.015530902389216193,0.03880095548160898,0.03880095548160898,0.009564893984280317
2,reference_uniform,9,2.2063629627227783,1.6612708930509362e-14,0.00018266453731157693,5.666382451626685e-05,0.0010564018992888313,0.0015604654734481494,0.0038368171386678374,0.009824366457871254,0.009824366457871254,0.0024843129688284795
2,reference_uniform,17,4.35905647277832,1.6607131761052574e-14,4.344872443368832e-05,1.348796351089528e-05,0.0002514331623355367,0.00037209233029018,0.0009135158176275068,0.0023538841962780135,0.0023538841962780135,0.0006271584140060324
2,reference_uniform,33,8.625498056411743,1.660573784821429e-14,8.68760977339117e-06,2.6974219351717777e-06,5.028208761679409e-05,7.4446146854905e-05,0.00018270257840429457,0.00047152179767152516,0.00047152179767152516,0.00015717393255717504
2,reference_uniform,65,17.185328483581543,1.6605389393381187e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,near_probit,5,1.192530870437622,3.0580340197185416e-14,0.005523462295735073,0.013557922866510919,0.027933220204871365,0.024288188814051134,0.10308904876049103,0.0363818220391954,0.10308904876049103,0.023298750361714273
2,near_probit,9,2.309753656387329,3.106565639531848e-14,0.0018592151529092987,0.00447684134558078,0.00920786975351555,0.007817760319248456,0.033890304246892745,0.009979169994323104,0.033890304246892745,0.00839667858739275
2,near_probit,17,4.5459816455841064,3.124443137507733e-14,0.0004835144126504673,0.0011579383125400865,0.002382068031879688,0.0020060142302971177,0.008761180857602848,0.00241811379163693,0.008761180857602848,0.0023247923786725976
2,near_probit,33,13.73394227027893,3.1294193559771534e-14,9.894513687333043e-05,0.00023662209151404745,0.00048681940154128746,0.00040905273871881054,0.0017901880442883875,0.00048525088869288643,0.0017901880442883875,0.0005967293480961291
2,near_probit,65,18.210237979888916,3.13069834611448e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,heavy_tail,5,1.0748481750488281,2.265852328677769e-14,0.0007966320605688922,0.004906590948467951,0.02334330735129507,0.01788240514063626,0.0734817423872645,0.0666521278466429,0.0734817423872645,0.017936053234833205
2,heavy_tail,9,2.1508049964904785,2.2429747671729728e-14,0.0002048889379209876,0.0012401279129622199,0.005920624424506803,0.004662760920148108,0.01868531948796601,0.018366418777861084,0.01868531948796601,0.0047134560248387695
2,heavy_tail,17,4.2812840938568115,2.23707430778609e-14,4.927340492059958e-05,0.00029697771555310307,0.0014190410221335346,0.0011255013342952444,0.004481345107233352,0.004498207251831166,0.004498207251831166,0.0011962928389656453
2,heavy_tail,33,8.51937460899353,2.2355875664573648e-14,9.87932320101645e-06,5.948161712482883e-05,0.00028427964342920143,0.00022587617320664544,0.0008979029445821427,0.0009060769348879548,0.0009060769348879548,0.00030202564496265163
2,heavy_tail,65,17.064131498336792,2.235215149491392e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
