n,coverage,se,nominal,z,stratum,value,target,backend
1,0.0,0.0,0.95,,overlap_status,no_overlap,q0.5,ref
1349,0.9540400296515937,0.005701212040903637,0.95,0.708626450412365,overlap_status,overlap,q0.5,ref
338,0.9674556213017751,0.009651507855548495,0.95,1.808590073492007,info_stratum,Q1,q0.5,particle
337,0.9495548961424333,0.011922150463514402,0.95,-0.03733419226077098,info_stratum,Q2,q0.5,particle
337,0.9643916913946587,0.010094561359042693,0.95,1.4256876433532928,info_stratum,Q3,q0.5,particle
338,0.9319526627218935,0.013697589427222722,0.95,-1.3175557183980873,info_stratum,Q4,q0.5,particle
338,0.9674556213017751,0.009651507855548495,0.95,1.808590073492007,info_stratum,Q1,q0.5,ref
337,0.9495548961424333,0.011922150463514402,0.95,-0.03733419226077098,info_stratum,Q2,q0.5,ref
337,0.9643916913946587,0.010094561359042693,0.95,1.4256876433532928,info_stratum,Q3,q0.5,ref
338,0.9319526627218935,0.013697589427222722,0.95,-1.3175557183980873,info_stratum,Q4,q0.5,ref
1,0.0,0.0,0.95,,overlap_status,no_overlap,q0.95,particle
1349,0.9540400296515937,0.005701212040903637,0.95,0.708626450412365,overlap_status,overlap,q0.95,particle
1,0.0,0.0,0.95,,overlap_status,no_overlap,q0.95,ref
1349,0.9547813194959229,0.005657244182480809,0.95,0.8451676013437123,overlap_status,overlap,q0.95,ref
338,0.9792899408284024,0.007746186811614705,0.95,3.7812076497412646,info_stratum,Q1,q0.95,particle
337,0.9703264094955489,0.009243342063108116,0.95,2.1990324881165475,info_stratum,Q2,q0.95,particle
337,0.913946587537092,0.015276698443399142,0.95,-2.3600264544389264,info_stratum,Q3,q0.95,particle
338,0.9497041420118343,0.011887811949677179,0.95,-0.024887505742695156,info_stratum,Q4,q0.95,particle
338,0.9763313609467456,0.00826850347045287,0.95,3.1845376906280016,info_stratum,Q1,q0.95,ref
337,0.973293768545994,0.00878240226147083,0.95,2.652323117580925,info_stratum,Q2,q0.95,ref
337,0.9169139465875371,0.015035345215826043,0.95,-2.2005516293458176,info_stratum,Q3,q0.95,ref
338,0.9497041420118343,0.011887811949677179,0.95,-0.024887505742695156,info_stratum,Q4,q0.95,ref
1,0.0,0.0,0.95,,overlap_status,no_overlap,q0.99,particle
1349,0.9584877687175686,0.005430944334551797,0.95,1.562853197291903,overlap_status,overlap,q0.99,particle
1,0.0,0.0,0.95,,overlap_status,no_overlap,q0.99,ref
1349,0.9584877687175686,0.005430944334551797,0.95,1.562853197291903,overlap_status,overlap,q0.99,ref
338,0.9822485207100592,0.007182400472489527,0.95,4.489936314965938,info_stratum,Q1,q0.99,particle
337,0.9821958456973294,0.007203520074286231,0.95,4.469460120234292,info_stratum,Q2,q0.99,particle
337,0.9198813056379822,0.014788287246690644,0.95,-2.0366587326573455,info_stratum,Q3,q0.99,particle
338,0.9467455621301775,0.012213389044149972,0.95,-0.26646476731872526,info_stratum,Q4,q0.99,particle
338,0.9733727810650887,0.008756774241042785,0.95,2.669108557754193,info_stratum,Q1,q0.99,ref
337,0.9821958456973294,0.007203520074286231,0.95,4.469460120234292,info_stratum,Q2,q0.99,ref
337,0.9258160237388724,0.014275865580165557,0.95,-1.694046229654055,info_stratum,Q3,q0.99,ref
338,0.9497041420118343,0.011887811949677179,0.95,-0.024887505742695156,info_stratum,Q4,q0.99,ref
