block,dgp,prior_name,scale,target,n_policies,physical,pseudo_min,pseudo_max,spread,spread_se,policy_at_min,policy_at_max,max_abs_pseudo_minus_physical,curve_scale_units
II,probit_center,shifted,s3,q0.95,4,34.93456088085442,34.93456087357655,34.93456094910805,7.553149572459006e-08,1.5001403163817104e-08,entropy_vector,fixed_design,6.825362675044744e-08,2.517716524153002e-08
II,probit_center,shifted,s3,q0.99,4,36.979043622122525,36.97904361630156,36.97904370202739,8.572582999022416e-08,1.946345824822361e-08,entropy_vector,fixed_design,7.99048649469114e-08,2.857527666340805e-08
II,probit_shift38,shifted,s3,q0.5,4,38.0,37.999999519285666,38.000000096765646,5.774799802793495e-07,5.5560168051843555e-08,fixed_design,entropy_q0.95,4.80714334116783e-07,1.9249332675978317e-07
II,probit_shift38,shifted,s3,q0.95,4,42.93456088085442,42.93456022387268,42.934561153067214,9.291945346490138e-07,1.4912996371902018e-07,fixed_design,entropy_q0.95,6.569817401214095e-07,3.0973151154967127e-07
II,probit_shift38,shifted,s3,q0.99,4,44.979043622122525,44.97904289210984,44.97904396702642,1.0749165824108786e-06,1.8839233644156128e-07,fixed_design,entropy_q0.95,7.300126867448853e-07,3.5830552747029287e-07
II,tail_1.0,shifted,s3,q0.5,4,30.0,30.000000040132207,30.117082837341307,0.11708279720910042,0.03040606997726192,fixed_design,entropy_vector,0.11708283734130731,0.03902759906970014
II,tail_1.0,shifted,s3,q0.95,4,37.93456088085442,34.93456094910805,35.81243505626231,0.8778741071542626,0.10685797585304413,fixed_design,entropy_q0.95,2.9999999317463732,0.2926247023847542
II,tail_1.0,shifted,s3,q0.99,4,42.85904362212253,36.97904370202739,38.19271519240573,1.2136714903783385,0.14148183486442126,fixed_design,entropy_q0.95,5.879999920095138,0.4045571634594462
Ib,cloglog_1.0,cal,s1.5,q0.5,2,30.00000000000299,29.64915371629005,29.71232416637096,0.06317045008090716,0.01430497703637759,entropy_vector,fixed_design,0.35084628371294,0.02105681669363572
Ib,cloglog_1.0,cal,s1.5,q0.95,2,31.907344810864267,32.22671958292767,32.31950523414604,0.0927856512183709,0.02629215913279093,entropy_vector,fixed_design,0.41216042328177593,0.030928550406123634
Ib,cloglog_1.0,cal,s1.5,q0.99,2,32.467664584118516,33.29465431026453,33.39971010447366,0.10505579420913591,0.03735229638876424,entropy_vector,fixed_design,0.9320455203551461,0.03501859806971197
Ib,cloglog_1.0,cal,s6.0,q0.5,2,30.00000000009181,29.018870571898297,29.820955730629642,0.8020851587313444,0.04828181230533682,entropy_vector,fixed_design,0.9811294281935119,0.2673617195771148
Ib,cloglog_1.0,cal,s6.0,q0.95,2,37.62937924766899,39.09106270853408,39.593942941500615,0.5028802329665325,0.08825971578348164,entropy_vector,fixed_design,1.9645636938316215,0.1676267443221775
Ib,cloglog_1.0,cal,s6.0,q0.99,2,39.87065834190087,43.26416412268111,43.643078045048064,0.3789139223669551,0.12645324108985728,entropy_vector,fixed_design,3.772419703147193,0.12630464078898504
Ib,probit,cal,s1.5,q0.5,2,30.0,29.999999994752415,29.999999995460907,7.084928199674323e-10,5.069999368089079e-09,entropy_vector,fixed_design,5.247585477263783e-09,2.361642733224774e-10
Ib,probit,cal,s1.5,q0.95,2,32.46728044042721,32.46728042708116,32.46728045023893,2.3157774364790384e-08,9.983604730533455e-09,entropy_vector,fixed_design,1.3346053151508386e-08,7.719258121596795e-09
Ib,probit,cal,s1.5,q0.99,2,33.48952181106126,33.48952179435986,33.4895218268188,3.245894220071932e-08,1.2555762533980302e-08,entropy_vector,fixed_design,1.6701399374596804e-08,1.0819647400239774e-08
Ib,probit,cal,s6.0,q0.5,2,30.0,29.99999999920178,30.00000005756231,5.8360530630352514e-08,2.5006330753451085e-08,entropy_vector,fixed_design,5.7562310473713296e-08,1.9453510210117504e-08
Ib,probit,cal,s6.0,q0.95,2,39.86912176170883,39.86912165907777,39.86912173671379,7.763601672650111e-08,6.854606955885833e-08,entropy_vector,fixed_design,1.0263106275942846e-07,2.5878672242167038e-08
Ib,probit,cal,s6.0,q0.99,2,43.95808724424504,43.95808709942269,43.95808718504491,8.562221864849562e-08,9.459275578059343e-08,entropy_vector,fixed_design,1.4482235144441802e-07,2.854073954949854e-08
Ib,tail_1.0,cal,s1.5,q0.5,2,30.0,30.13408419148532,30.14564217919922,0.01155798771389982,0.027114407108437405,entropy_vector,fixed_design,0.1456421791992213,0.00385266257129994
Ib,tail_1.0,cal,s1.5,q0.95,2,33.96728044042721,32.94551476456317,33.03709842220263,0.09158365763946108,0.08408539126180598,entropy_vector,fixed_design,1.0217656758640388,0.03052788587982036
Ib,tail_1.0,cal,s1.5,q0.99,2,36.429521811061264,34.110344102718166,34.235083922571775,0.12473981985360894,0.10780685755722724,entropy_vector,fixed_design,2.3191777083430978,0.04157993995120298
Ib,tail_1.0,cal,s6.0,q0.5,2,30.0,30.00000005756231,30.198408611666277,0.19840855410396685,0.033377298474644046,fixed_design,entropy_vector,0.19840861166627732,0.06613618470132228
Ib,tail_1.0,cal,s6.0,q0.95,2,45.86912176170883,39.86912173671379,40.72224434185647,0.8531226051426799,0.14648715313254643,fixed_design,entropy_vector,6.000000024995046,0.2843742017142266
Ib,tail_1.0,cal,s6.0,q0.99,2,55.71808724424505,43.95808718504491,45.082470315720435,1.1243831306755254,0.19392595623271802,fixed_design,entropy_vector,11.760000059200138,0.3747943768918418
Ic,cloglog_1.0,narrow,s3,q0.5,2,30.000000000036525,29.52952191561193,29.699269762326338,0.169747846714408,0.021681936136895587,entropy_vector,fixed_design,0.47047808442459527,0.05658261557146934
Ic,cloglog_1.0,narrow,s3,q0.95,2,33.81468962342685,34.49429923154395,34.52535920916726,0.031059977623314694,0.04205013341108367,entropy_vector,fixed_design,0.710669585740412,0.010353325874438232
Ic,cloglog_1.0,narrow,s3,q0.99,2,34.935329170425796,36.524900165316936,36.55130121849782,0.026401053180883594,0.057093922626301176,fixed_design,entropy_vector,1.6159720480720239,0.008800351060294531
Ic,cloglog_1.0,shifted,s3,q0.5,2,30.000000000036525,29.496677842106063,32.66756138414346,3.170883542037398,0.031570850338077626,entropy_vector,fixed_design,2.6675613841069357,1.0569611806791326
Ic,cloglog_1.0,shifted,s3,q0.95,2,33.81468962342685,34.72541632178159,42.198391194752695,7.472974872971108,0.06383794829096,entropy_vector,fixed_design,8.383701571325844,2.4909916243237027
Ic,cloglog_1.0,shifted,s3,q0.99,2,34.935329170425796,36.89178245615787,46.14719586617874,9.255413410020871,0.0858341857200169,entropy_vector,fixed_design,11.211866695752946,3.0851378033402903
Ic,probit,narrow,s3,q0.5,2,30.0,29.999999994602877,30.000000004525205,9.922327848244095e-09,5.672163863340634e-09,entropy_vector,fixed_design,5.397122748718175e-09,3.307442616081365e-09
Ic,probit,narrow,s3,q0.95,2,34.93456088085442,34.9345608723468,34.93456087721549,4.86868856341971e-09,1.2167303056910547e-08,fixed_design,entropy_vector,8.507619497777341e-09,1.62289618780657e-09
Ic,probit,narrow,s3,q0.99,2,36.979043622122525,36.97904360821516,36.97904361921204,1.0996885180247773e-08,1.596512271931469e-08,fixed_design,entropy_vector,1.390736770190415e-08,3.665628393415924e-09
Ic,probit,shifted,s3,q0.5,2,30.0,29.999999989205755,30.000000040132207,5.0926452388466714e-08,7.247058293480973e-09,entropy_vector,fixed_design,4.0132206891030364e-08,1.6975484129488905e-08
Ic,probit,shifted,s3,q0.95,2,34.93456088085442,34.93456087357655,34.93456094910805,7.553149572459006e-08,1.5001403163817104e-08,entropy_vector,fixed_design,6.825362675044744e-08,2.517716524153002e-08
Ic,probit,shifted,s3,q0.99,2,36.979043622122525,36.97904361630156,36.97904370202739,8.572582999022416e-08,1.946345824822361e-08,entropy_vector,fixed_design,7.99048649469114e-08,2.857527666340805e-08
Ic,tail_1.0,narrow,s3,q0.5,2,30.0,30.025294238390657,30.12815685646952,0.10286261807886277,0.026431249894479487,fixed_design,entropy_vector,0.1281568564695199,0.03428753935962092
Ic,tail_1.0,narrow,s3,q0.95,2,37.93456088085442,35.04504426166157,35.460203272498035,0.41515901083646156,0.0995194347181283,fixed_design,entropy_vector,2.8895166191928467,0.1383863369454872
Ic,tail_1.0,narrow,s3,q0.99,2,42.85904362212253,37.12482249033358,37.66937185637479,0.5445493660412097,0.1300369063157476,fixed_design,entropy_vector,5.734221131788949,0.18151645534706992
Ic,tail_1.0,shifted,s3,q0.5,2,30.0,30.000000040132207,30.117082837341307,0.11708279720910042,0.03040606997726192,fixed_design,entropy_vector,0.11708283734130731,0.03902759906970014
Ic,tail_1.0,shifted,s3,q0.95,2,37.93456088085442,34.93456094910805,35.36886291876024,0.43430196965219636,0.10465507160573723,fixed_design,entropy_vector,2.9999999317463732,0.1447673232173988
Ic,tail_1.0,shifted,s3,q0.99,2,42.85904362212253,36.97904370202739,37.544775628451546,0.5657319264241565,0.13563489942956225,fixed_design,entropy_vector,5.879999920095138,0.18857730880805215
