target,c_fraction,R,exact_max,exact_argmax_x,est_argmax_x,argmax_matches,exact_value_at_est_argmax,criterion_efficiency,mean_bias,max_abs_error,bias_over_exact_max,frac_negative,min_estimate,corr_with_exact,density_integral
sigma,0.1,400,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,0.0001151478666133931,0.0021367843573705247,0.0067523349963997115,0.0,0.0021363538495855483,0.9991875984977938,0.9970332128393311
sigma,0.2,50,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,-0.003484136161019946,0.005477104687813206,-0.20431168396080696,0.185,-0.0005709451173296909,0.9821741337315197,1.0008890130922155
sigma,0.2,100,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,0.00038558012526063797,0.006086516039265577,0.022610633182245723,0.0,0.0060783722456277944,0.9681354706012569,0.9912744183045332
sigma,0.2,200,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,0.0035225746135503,0.010541852829211384,0.20656573621432886,0.0,0.010521387954176564,0.9535763003176404,0.9848477109331798
sigma,0.2,400,0.017053044121002434,44.0,16.7035175879397,False,0.016801910708122952,0.9852733968728676,0.005663043548471831,0.012932485674982064,0.3320840260711727,0.0,0.012933021445984183,0.9749142660307628,0.9814079825418152
sigma,0.4,50,0.017053044121002434,44.0,29.92964824120603,False,1.076517710418834e-06,6.312759779311195e-05,0.013442116947788104,0.030250642723527066,0.7882532205046527,0.0,0.015815545025676753,-0.9818550117733411,0.9563848323012372
sigma,0.4,100,0.017053044121002434,44.0,30.07035175879397,False,1.0765177106408785e-06,6.312759780613277e-05,0.017520268125165064,0.03723545500184233,1.0273982756889253,0.0,0.015861266383086367,-0.9958751291146714,0.9463023616513841
sigma,0.4,200,0.017053044121002434,44.0,30.07035175879397,False,1.0765177106408785e-06,6.312759780613277e-05,0.02084634562491684,0.04186576050893065,1.2224413117680613,0.0,0.01711654565213412,-0.9982964107073833,0.9396227464404948
sigma,0.4,400,0.017053044121002434,44.0,30.07035175879397,False,1.0765177106408785e-06,6.312759780613277e-05,0.02170559992957293,0.04283974955250425,1.2728284625054382,0.0,0.017529021905246106,-0.9988095201450331,0.9382243500771285
mu,0.02,50,0.34195716794202313,29.92964824120603,29.92964824120603,True,0.34195716794202313,1.0,-0.0003636838587009966,0.010298060527377972,-0.001063536292833777,0.0,0.04524209701022679,0.9983729907247388,0.9822202405736913
mu,0.02,100,0.34195716794202313,29.92964824120603,29.92964824120603,True,0.34195716794202313,1.0,-0.00012428473383789413,0.006070022988976548,-0.0003634511730982808,0.0,0.03811456536012167,0.9993301274915178,0.9926484090645301
mu,0.02,200,0.34195716794202313,29.92964824120603,29.92964824120603,True,0.34195716794202313,1.0,-0.0006907033201278022,0.004400302057222,-0.002019853317550305,0.0,0.03661263139446223,0.9997634270115088,0.9999193317446557
mu,0.02,400,0.34195716794202313,29.92964824120603,29.92964824120603,True,0.34195716794202313,1.0,-0.0006321059940209975,0.003131867238106406,-0.0018484946457626745,0.0,0.03804606023848521,0.9999103470530011,0.9982297130170541
mu,0.05,50,0.34195716794202313,29.92964824120603,29.78894472361809,False,0.3418035908693109,0.9995508879850757,0.0005560334402140898,0.011128942015587187,0.0016260324167509837,0.0,0.043977333426739026,0.9978484509100785,0.9791154448992375
mu,0.05,100,0.34195716794202313,29.92964824120603,29.92964824120603,True,0.34195716794202313,1.0,-0.00035733033118296397,0.006383841874138679,-0.0010449564000470002,0.0,0.038295521700940055,0.9992210009403751,0.9920483891481827
mu,0.05,200,0.34195716794202313,29.92964824120603,29.92964824120603,True,0.34195716794202313,1.0,-0.0010049724369818698,0.0044935075257524215,-0.0029388839632461133,0.0,0.03697196687907943,0.9997828626476231,0.9974864084005473
mu,0.05,400,0.34195716794202313,29.92964824120603,29.92964824120603,True,0.34195716794202313,1.0,-0.0007908411619918223,0.0031125534744405325,-0.002312690699689924,0.0,0.03830098837175172,0.9999308983243439,0.9969579718188426
mu,0.1,50,0.34195716794202313,29.92964824120603,29.78894472361809,False,0.3418035908693109,0.9995508879850757,-0.0004909103513408847,0.011292046774621256,-0.0014355901772590293,0.0,0.043656228127778834,0.9978076235114594,0.9819078821143904
mu,0.1,100,0.34195716794202313,29.92964824120603,29.92964824120603,True,0.34195716794202313,1.0,-0.0016294763769911407,0.0073331823636925975,-0.004765147596693773,0.0,0.03823946191584199,0.9992767418151128,0.9918964418100076
mu,0.1,200,0.34195716794202313,29.92964824120603,29.92964824120603,True,0.34195716794202313,1.0,-0.0017561963312393348,0.005299147696715745,-0.005135720189193659,0.0,0.03703819482864307,0.9997414207938744,0.9959688684646704
mu,0.1,400,0.34195716794202313,29.92964824120603,29.92964824120603,True,0.34195716794202313,1.0,-0.0018057897771239673,0.004278330613822046,-0.005280748428207034,0.0,0.03781131324743657,0.999913778254147,0.9976573862609897
mu,0.2,50,0.34195716794202313,29.92964824120603,29.78894472361809,False,0.3418035908693109,0.9995508879850757,-0.00354902777205807,0.013943605550729071,-0.010378573999243634,0.0,0.04397011316278093,0.9978595592992725,0.980548703855594
