n,target_p,stimulus_r,stimulus_x,utility,vector_mi,is_argmax,argmax_r,quad_density_integral,quad_empty_windows,post_mu_median,post_sigma_median,ess
5,0.95,0.86,33.00320599752479,0.09132643179742245,0.11256437991947033,True,0.86,1.0049043937794346,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.95,0.9,33.97200411830268,0.09089390122478758,0.10933211315712649,False,0.86,1.0049043937794346,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.95,0.94,35.28061390183042,0.0873319823630524,0.10271716378991674,False,0.86,1.0049043937794346,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.95,0.98,37.6738633283146,0.07659544086574135,0.08792353563914465,False,0.86,1.0049043937794346,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.02,18.351535611736168,0.02059865047427767,0.0627846353285118,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.06,20.70793354874318,0.014655092867163877,0.07200050986809242,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.1,21.980999331995903,0.009222840856993986,0.0748694129775403,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.14,22.921759522495297,0.004625320607005379,0.0753207738060217,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.18,23.668422984388698,0.0012112128110349785,0.07461197879830672,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.22,24.30168827667126,-0.0009673539152879052,0.07352180318874113,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.26,24.87529739119726,-0.0018890259135211362,0.07252932273894963,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.3,25.4137017019257,-0.0014374783867484586,0.07199895159261682,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.34,25.934670180219072,0.0005405277757906113,0.07222512163175143,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.38,26.42583059457804,0.004004977415180466,0.07337968888646285,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.42,26.89625855093871,0.008857745176354737,0.0755055561107485,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.46,27.38670318838566,0.015442270567250227,0.07883158427077275,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.5,27.836740702881258,0.022634761107204637,0.08278677174771898,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
