mu_true,sigma_true,target,backend,n,coverage,coverage_se,z_vs_nominal,mean_width,median_width,bias,rmse,frac_no_overlap,frac_all_equal,mean_ess
30.0,1.5,q0.5,particle,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,2.0992019143503695,2.089868962650753,-0.020176853021909788,0.4337177150121141,0.006666666666666667,0.0,6453.682646958865
30.0,1.5,q0.5,ref,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,,,-0.020176853021909788,0.4337177150121141,0.006666666666666667,0.0,6453.682646958865
30.0,1.5,q0.95,particle,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,4.522375226801232,4.344758498052826,0.10326287230432404,0.8590054618111335,0.006666666666666667,0.0,6453.682646958865
30.0,1.5,q0.95,ref,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,,,0.10326287230432404,0.8590054618111335,0.006666666666666667,0.0,6453.682646958865
30.0,1.5,q0.99,particle,150,0.9733333333333334,0.013154354299509981,1.7738106182986595,6.216852621025059,5.781593727025589,0.14988525178452966,1.1338138439548446,0.006666666666666667,0.0,6453.682646958865
30.0,1.5,q0.99,ref,150,0.9733333333333334,0.013154354299509981,1.7738106182986595,,,0.14988525178452966,1.1338138439548446,0.006666666666666667,0.0,6453.682646958865
30.0,3.0,mu,particle,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,3.7365510621380613,3.727115655868653,-0.06696057050438403,0.9067106557981227,0.0,0.0,7209.472133540061
30.0,3.0,mu,ref,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,,,-0.06696057050438403,0.9067106557981227,0.0,0.0,7209.472133540061
30.0,3.0,sigma,particle,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,4.36288851735032,4.379776765144346,-0.0048857384111139265,0.8460343540353846,0.0,0.0,7209.472133540061
30.0,3.0,sigma,ref,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,,,-0.0048857384111139265,0.8460343540353846,0.0,0.0,7209.472133540061
30.0,3.0,q0.5,particle,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,3.7365510621380613,3.727115655868653,-0.06696057050438403,0.9067106557981227,0.0,0.0,7209.472133540061
30.0,3.0,q0.5,ref,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,,,-0.06696057050438403,0.9067106557981227,0.0,0.0,7209.472133540061
30.0,3.0,q0.95,particle,150,0.96,0.016000000000000007,0.6250000000000002,8.125750750658305,8.175879434329323,-0.06351662225848002,1.4655189643821924,0.0,0.0,7209.472133540061
30.0,3.0,q0.95,ref,150,0.96,0.016000000000000007,0.6250000000000002,,,-0.06351662225848002,1.4655189643821924,0.0,0.0,7209.472133540061
30.0,3.0,q0.99,particle,150,0.96,0.016000000000000007,0.6250000000000002,10.835901950125733,10.835965351864353,-0.06754227373666907,1.9567789282731847,0.0,0.0,7209.472133540061
30.0,3.0,q0.99,ref,150,0.96,0.016000000000000007,0.6250000000000002,,,-0.06754227373666907,1.9567789282731847,0.0,0.0,7209.472133540061
30.0,6.0,mu,particle,150,0.9333333333333333,0.02036700308869262,-0.8183170883849685,6.372146402463461,6.379982583157794,-0.00371061116660807,1.402545454995041,0.0,0.0,6991.7809970496255
30.0,6.0,mu,ref,150,0.9333333333333333,0.02036700308869262,-0.8183170883849685,,,-0.00371061116660807,1.402545454995041,0.0,0.0,6991.7809970496255
30.0,6.0,sigma,particle,150,0.9066666666666666,0.023751803050466473,-1.824422897127479,7.9490458037531715,7.512259949714187,-0.44463442738325415,1.9552812448713988,0.0,0.0,6991.7809970496255
30.0,6.0,sigma,ref,150,0.9066666666666666,0.023751803050466473,-1.824422897127479,,,-0.44463442738325415,1.9552812448713988,0.0,0.0,6991.7809970496255
30.0,6.0,q0.5,particle,150,0.9333333333333333,0.02036700308869262,-0.8183170883849685,6.372146402463461,6.379982583157794,-0.00371061116660807,1.402545454995041,0.0,0.0,6991.7809970496255
30.0,6.0,q0.5,ref,150,0.9333333333333333,0.02036700308869262,-0.8183170883849685,,,-0.00371061116660807,1.402545454995041,0.0,0.0,6991.7809970496255
