dgp,design,design_r_prior,n,fit,fit_r_prior,target,n_rep,coverage,coverage_se,z_mean,z_mean_se,z_sd,p_abs_z_gt_4,p_abs_z_gt_4_se,miss_halfwidths_mean,abs_miss_halfwidths_mean,dangerous_error,dangerous_error_se,bias,bias_se,rmse,mean_width,median_width,mean_post_sd,target_true,r_mean,r_sd,r_mass_at_zero,r_mass_at_max,max_boundary_mass,ess_min,frac_below_ess_floor,x_max_mean,frac_above_onset,design_kl_nats,realized_flips_mean,frac_zero_flips,frac_all_equal,fit_seconds_mean,design_seconds_mean,n_blind,coverage_blind,coverage_blind_se,bias_blind,mean_width_blind,n_informed,coverage_informed,coverage_informed_se,bias_informed,mean_width_informed
probit,mi2,,200,robit,heavy_tail,q0.95,6,0.8333333333333334,0.15214515486254612,-1.4046076771185971,0.27167870656757276,0.6654742050698702,0.0,0.0,0.7158369870175227,0.7158369870175227,0.0,0.0,1.4330882372295737,0.3100026017486183,1.5919327753207198,3.894527857459783,3.9451101893247014,0.9920193249331573,34.93456088085442,0.3734863475460401,0.09690104893773331,0.0,0.045492855891503155,7.467927837564752e-18,21.054968223398273,0.16666666666666666,36.73031825795645,0.4416666666666667,0.0,0.0,1.0,0.0,35.67224407196045,2.4970016876856485,6,0.8333333333333334,0.15214515486254612,1.4330882372295737,3.894527857459783,0,,,,
probit,mi2,,200,robit,heavy_tail,q0.99,6,0.0,0.0,-2.1652215251633753,0.10739912577191583,0.2630730569621883,0.0,0.0,1.1258825306793088,1.1258825306793088,0.0,0.0,5.7699792772497425,0.5045872220555117,5.879260343206444,10.164800189545627,10.558376169139315,2.643609107259587,36.979043622122525,0.3734863475460401,0.09690104893773331,0.0,0.045492855891503155,7.467927837564752e-18,21.054968223398273,0.16666666666666666,36.73031825795645,0.4416666666666667,0.0,0.0,1.0,0.0,35.67224407196045,2.4970016876856485,6,0.0,0.0,5.7699792772497425,10.164800189545627,0,,,,
probit,mi2,,200,robit,near_probit,q0.5,6,0.8333333333333334,0.15214515486254612,-0.8798293170186433,0.34091983286482774,0.8350796337137509,0.0,0.0,0.4480643130536844,0.4480643130536844,0.0,0.0,0.33914457272763343,0.13604325920632343,0.45558520947019726,1.4915851986261692,1.4641399915405593,0.3798273546928237,30.0,0.051222711410588546,0.04647658548874409,0.13420030669395638,0.0,3.7169283761930506e-17,21.054968223398273,0.16666666666666666,36.73031825795645,0.4416666666666667,0.0,0.0,1.0,0.0,35.263826529184975,2.4970016876856485,6,0.8333333333333334,0.15214515486254612,0.33914457272763343,1.4915851986261692,0,,,,
probit,mi2,,200,robit,near_probit,q0.95,6,0.8333333333333334,0.15214515486254612,-0.918668916793008,0.33380511487188713,0.817652204967248,0.0,0.0,0.4678964620003385,0.4678964620003385,0.0,0.0,0.662585719822817,0.25510204146334664,0.8743026329063384,2.680918004180017,2.669557901623314,0.6825543656007312,34.93456088085442,0.051222711410588546,0.04647658548874409,0.13420030669395638,0.0,3.7169283761930506e-17,21.054968223398273,0.16666666666666666,36.73031825795645,0.4416666666666667,0.0,0.0,1.0,0.0,35.263826529184975,2.4970016876856485,6,0.8333333333333334,0.15214515486254612,0.662585719822817,2.680918004180017,0,,,,
probit,mi2,,200,robit,near_probit,q0.99,6,0.8333333333333334,0.15214515486254612,-1.0455501385129868,0.27279130818732067,0.6681995113252467,0.0,0.0,0.5326211572378817,0.5326211572378817,0.0,0.0,1.0959212468121464,0.31567034731738985,1.3035651959498216,3.957978910962795,3.9357145977940675,1.0079691109473763,36.979043622122525,0.051222711410588546,0.04647658548874409,0.13420030669395638,0.0,3.7169283761930506e-17,21.054968223398273,0.16666666666666666,36.73031825795645,0.4416666666666667,0.0,0.0,1.0,0.0,35.263826529184975,2.4970016876856485,6,0.8333333333333334,0.15214515486254612,1.0959212468121464,3.957978910962795,0,,,,
probit,mi2,,200,robit,reference_uniform,q0.5,6,0.8333333333333334,0.15214515486254612,-0.7931230273113732,0.32489516845858146,0.7958273826191079,0.0,0.0,0.40348873464204466,0.40348873464204466,0.0,0.0,0.3451816608005582,0.1447517134465878,0.47319728621542934,1.7019777967104421,1.6636906089342922,0.43276673874216054,30.0,0.25081508674368674,0.1413189040441156,0.015422582911383756,0.015495246372583765,1.6874219563782585e-17,21.054968223398273,0.16666666666666666,36.73031825795645,0.4416666666666667,0.0,0.0,1.0,0.0,35.453399658203125,2.4970016876856485,6,0.8333333333333334,0.15214515486254612,0.3451816608005582,1.7019777967104421,0,,,,
probit,mi2,,200,robit,reference_uniform,q0.95,6,0.8333333333333334,0.15214515486254612,-1.1623182189774122,0.263945934610553,0.646532859477869,0.0,0.0,0.5927472787394216,0.5927472787394216,0.0,0.0,1.1057244877602557,0.28198437732647896,1.272871787775065,3.6027762094231712,3.651946930827542,0.9181064178564856,34.93456088085442,0.25081508674368674,0.1413189040441156,0.015422582911383756,0.015495246372583765,1.6874219563782585e-17,21.054968223398273,0.16666666666666666,36.73031825795645,0.4416666666666667,0.0,0.0,1.0,0.0,35.453399658203125,2.4970016876856485,6,0.8333333333333334,0.15214515486254612,1.1057244877602557,3.6027762094231712,0,,,,
probit,mi2,,200,robit,reference_uniform,q0.99,6,0.6666666666666666,0.19245008972987526,-1.3785389557858923,0.09575218246592329,0.23454398879938237,0.0,0.0,0.7403936364240624,0.7403936364240624,0.0,0.0,3.739969971706722,0.3847360610145614,3.837640495472834,10.010636657546673,10.244572336092716,2.688734656944918,36.979043622122525,0.25081508674368674,0.1413189040441156,0.015422582911383756,0.015495246372583765,1.6874219563782585e-17,21.054968223398273,0.16666666666666666,36.73031825795645,0.4416666666666667,0.0,0.0,1.0,0.0,35.453399658203125,2.4970016876856485,6,0.6666666666666666,0.19245008972987526,3.739969971706722,10.010636657546673,0,,,,
probit,mi3,heavy_tail,50,probit,,q0.5,6,0.8333333333333334,0.15214515486254612,0.4785611849058243,0.3708874656731381,0.9084850428931996,0.0,0.0,-0.24147851752782076,0.3868971846514919,0.0,0.0,-0.2597778786466017,0.22016593276516963,0.5566414788586227,2.8581517521494053,2.7426752702922474,0.7206754840074656,30.0,,,,,3.2056113195111234e-15,2117.1767081535304,0.0,34.80737018425461,0.14333333333333334,0.0,0.0,1.0,0.0,2.1559493144353232,2.6041059494018555,6,0.8333333333333334,0.15214515486254612,-0.2597778786466017,2.8581517521494053,0,,,,
probit,mi3,heavy_tail,50,probit,,q0.95,6,1.0,0.0,-0.0690863495237205,0.40864968538854524,1.0009832127508143,0.0,0.0,0.039964279778125555,0.35427103330853466,0.16666666666666666,0.15214515486254615,0.5353445467057251,0.7278527687918861,1.7133131788665,7.4748774627036925,7.410845160538969,2.0099580317310735,34.93456088085442,,,,,3.2056113195111234e-15,2117.1767081535304,0.0,34.80737018425461,0.14333333333333334,0.0,0.0,1.0,0.0,2.1559493144353232,2.6041059494018555,6,1.0,0.0,0.5353445467057251,7.4748774627036925,0,,,,
