arm,mu_true,sigma_true,target,n,cov_particle,cov_reference,cov_diff,cov_diff_se
no_overlap,46.0,0.3,q0.5,160,0.99375,1.0,-0.00625,0.006249999999999999
no_overlap,46.0,0.3,q0.95,160,0.5125,1.0,-0.4875,0.039640185918113975
no_overlap,46.0,0.3,q0.99,160,0.26875,1.0,-0.73125,0.03515674134876768
no_overlap,46.0,0.6,q0.5,160,0.98125,1.0,-0.01875,0.010757018332057744
no_overlap,46.0,0.6,q0.95,160,0.95625,1.0,-0.04375,0.016220946451227344
no_overlap,46.0,0.6,q0.99,160,0.925,1.0,-0.075,0.02088829228819295
no_overlap,46.0,1.2,q0.5,159,1.0,1.0,0.0,0.0
no_overlap,46.0,1.2,q0.95,159,1.0,1.0,0.0,0.0
no_overlap,46.0,1.2,q0.99,159,1.0,1.0,0.0,0.0
overlap_control,14.0,1.2,q0.5,4,1.0,1.0,0.0,0.0
overlap_control,14.0,1.2,q0.95,4,0.75,0.75,0.0,0.0
overlap_control,14.0,1.2,q0.99,4,0.75,0.75,0.0,0.0
overlap_control,18.0,0.3,q0.5,130,0.9769230769230769,0.9846153846153847,-0.007692307692307693,0.007692307692307693
overlap_control,18.0,0.3,q0.95,130,0.5307692307692308,0.8538461538461538,-0.3230769230769231,0.04117444688605597
overlap_control,18.0,0.3,q0.99,130,0.3769230769230769,0.8,-0.4230769230769231,0.0434984487148044
overlap_control,22.0,0.3,q0.5,154,0.948051948051948,0.9675324675324676,-0.01948051948051948,0.014481911599774057
overlap_control,22.0,0.3,q0.95,154,0.538961038961039,0.8636363636363636,-0.3246753246753247,0.03785604468377516
overlap_control,22.0,0.3,q0.99,154,0.4155844155844156,0.8376623376623377,-0.42207792207792205,0.039928706872358506
overlap_control,26.0,0.3,q0.5,134,0.9925373134328358,1.0,-0.007462686567164179,0.007462686567164181
overlap_control,26.0,0.3,q0.95,134,0.6194029850746269,0.835820895522388,-0.21641791044776118,0.037246039464429274
overlap_control,26.0,0.3,q0.99,134,0.4701492537313433,0.7985074626865671,-0.3283582089552239,0.04207623484946451
overlap_control,30.0,0.3,q0.5,152,0.9671052631578947,0.9868421052631579,-0.019736842105263157,0.011319355505772408
overlap_control,30.0,0.3,q0.95,152,0.5986842105263158,0.9210526315789473,-0.3223684210526316,0.0391638531898003
overlap_control,30.0,0.3,q0.99,152,0.48026315789473684,0.8881578947368421,-0.40789473684210525,0.03999309712777471
overlap_control,34.0,0.3,q0.5,154,0.9805194805194806,1.0,-0.01948051948051948,0.011173331005571083
overlap_control,34.0,0.3,q0.95,154,0.6493506493506493,0.8311688311688312,-0.18181818181818182,0.031181560935001604
overlap_control,34.0,0.3,q0.99,154,0.5194805194805194,0.8376623376623377,-0.3181818181818182,0.038766028668678565
overlap_control,38.0,0.3,q0.5,166,0.9939759036144579,0.9939759036144579,0.0,0.0
overlap_control,38.0,0.3,q0.95,166,0.6867469879518072,0.9096385542168675,-0.22289156626506024,0.033507946477148845
overlap_control,38.0,0.3,q0.99,166,0.572289156626506,0.8855421686746988,-0.3132530120481928,0.03710539904045754
overlap_control,42.0,0.3,q0.5,134,0.9552238805970149,0.9925373134328358,-0.03731343283582089,0.016434225374286397
