setting,policy,n,target,estimator,mse,mse_se,bias,rmse,n_used,n_total,coverage,coverage_se,mean_width
probit_ind_poor,dror_steinberg,20,q0.5,bayes,1.111535749893474,0.10218712788510437,-0.2032136826472292,1.0542939580086164,250,250,0.924,0.016759952267235128,4.2661868992366205
probit_ind_poor,dror_steinberg,20,q0.95,bayes,4.080113414884648,0.3545566289476377,-0.8326626915607096,2.01992906184466,250,250,0.932,0.01592180894245374,9.311577535736223
probit_ind_poor,dror_steinberg,20,q0.99,bayes,7.340401770562061,0.6456652580542735,-1.0947971088416402,2.709317583924421,250,250,0.936,0.01547953487673321,12.715247860509482
probit_ind_poor,dror_steinberg,20,mu,mle,1.0882781208741261,0.10337181307269477,0.0031346440556256423,1.0432056944218269,250,250,,,
probit_ind_poor,dror_steinberg,20,sigma,mle,1.825298234544694,0.17569691319151404,-0.6253223210762564,1.35103598565867,250,250,,,
probit_ind_poor,dror_steinberg,20,q0.5,mle,1.0882781208741261,0.10337181307269477,0.0031346440556256423,1.0432056944218269,250,250,,,
probit_ind_poor,dror_steinberg,20,q0.95,mle,5.771449017026165,0.5830283777675768,-1.025429043780371,2.402384027799503,250,250,,,
probit_ind_poor,dror_steinberg,20,q0.99,mle,10.605590573637226,1.0671452114158841,-1.45158260817041,3.256622571566626,250,250,,,
probit_ind_poor,dror_steinberg,20,q0.01,bayes,,,,,0,250,,,
probit_ind_poor,dror_steinberg,20,q0.05,bayes,,,,,0,250,,,
probit_ind_poor,dror_steinberg,20,q0.01,mle,,,,,0,250,,,
probit_ind_poor,dror_steinberg,20,q0.05,mle,,,,,0,250,,,
probit_ind_poor,dror_steinberg,30,mu,bayes,0.8626466983430693,0.07666294960423037,-0.12760322407509486,0.9287877574252739,250,250,0.924,0.016759952267235128,3.4201462860730008
probit_ind_poor,dror_steinberg,30,sigma,bayes,0.8712977241183344,0.07257872667646367,-0.27479034581045036,0.933433299233713,250,250,0.944,0.014541526742402262,4.060999910898966
probit_ind_poor,dror_steinberg,30,q0.5,bayes,0.8626466983430693,0.07666294960423037,-0.12760322407509486,0.9287877574252739,250,250,0.924,0.016759952267235128,3.4201462860730008
probit_ind_poor,dror_steinberg,30,q0.95,bayes,2.8954905936574704,0.2453467395731611,-0.5730432243740786,1.7016141142037668,250,250,0.944,0.014541526742402262,7.255114227306088
