mu_true,sigma_true,replicate,arm,n_particles,rejuvenate,kl_threshold,overlap,ess,max_weight,n_resamples,n_invalid,q0.5_p_covered,q0.5_r_covered,q0.5_cov_diff,q0.5_rank_diff,q0.5_shift_in_ref_sd,q0.5_sd_ratio,q0.95_p_covered,q0.95_r_covered,q0.95_cov_diff,q0.95_rank_diff,q0.95_shift_in_ref_sd,q0.95_sd_ratio,q0.99_p_covered,q0.99_r_covered,q0.99_cov_diff,q0.99_rank_diff,q0.99_shift_in_ref_sd,q0.99_sd_ratio
22.0,0.3,47,N=10k no-rejuv,10000,False,inf,False,12.285561738197082,0.1611046998553844,0,0,True,True,0,0.052685280417056335,-0.29730455348687884,1.1048938034628482,True,True,0,-0.03216333782798714,-0.08935855067991713,1.0824552874625406,True,True,0,0.013277544543245257,-0.045966414411110205,1.0461679470474927
22.0,0.3,47,N=10k rejuv KL=0.02,10000,True,0.02,False,1753.3072291395877,0.011361394340123999,19,19071,True,True,0,0.026325253232575063,-0.05239171093312468,0.9895948329092691,True,True,0,-0.01590031523105251,0.03202027570697736,1.001545777440305,True,True,0,-0.02763851672536327,0.041626227020661453,0.9962529445523555
22.0,0.3,48,N=10k rejuv,10000,True,0.1,True,526.9149460913577,0.03626827879629665,6,8183,True,True,0,0.0013444212017394985,0.023447263717958623,0.9941928582341634,True,True,0,-0.045217470008468735,0.10318077603370221,0.9812289958395509,True,True,0,-0.04516135726332328,0.10528639330593369,0.9797834164438454
22.0,0.3,48,N=40k rejuv,40000,True,0.1,True,2074.9623054972953,0.01069608039482055,6,31817,True,True,0,0.0016067604770996224,0.0008854702243905712,0.9963013873089757,True,True,0,-0.012913201461464102,0.021531130754239913,0.9889658444457224,True,True,0,-0.019208564367991246,0.022606244525596893,0.9892920115248567
22.0,0.3,48,N=160k rejuv,160000,True,0.1,True,11353.394105139063,0.0035116137380190172,6,130363,True,True,0,-0.00023593995238357923,0.009390526479214885,0.9996527678414578,True,True,0,-0.01270618422406658,0.03052270486889763,0.9864488421054243,True,True,0,-0.01471391711126796,0.0307562170241844,0.9862897894118786
22.0,0.3,48,N=10k no-rejuv,10000,False,inf,True,28.306482010481083,0.08803820746450029,0,0,True,True,0,0.033806192533440416,-0.11994409437878231,0.9409419149204731,True,True,0,-0.03883875057946837,0.030036836774576192,1.0414404123990428,True,True,0,0.03499427712215181,0.05076052289915993,1.0471049574132056
22.0,0.3,48,N=10k rejuv KL=0.02,10000,True,0.02,True,1397.2523105146392,0.00888064015424517,15,16897,True,True,0,0.005090770447616522,0.026066031188370593,1.003152253106109,True,True,0,-0.0471780679118913,0.07953904651296892,0.9674208868423757,True,True,0,-0.05600183154571661,0.0798944806022973,0.9689741680861927
22.0,0.3,49,N=10k rejuv,10000,True,0.1,True,3928.142651376686,0.004059429219853198,7,9644,True,True,0,-0.0158585747268698,0.01777829808971832,1.0036057643774077,False,False,0,-0.012604069345130189,0.04005904650243056,0.9776466723830408,False,False,0,-0.014012350683536005,0.039707993631807534,0.9777632193891731
22.0,0.3,49,N=40k rejuv,40000,True,0.1,True,13923.500840458433,0.001872011823567171,7,37422,True,True,0,-0.0009009558134605578,-0.002638353968236594,0.9983647478519193,False,False,0,-0.009562689391557716,0.020071387816418342,0.994285308054034,False,False,0,-0.008312397869486001,0.02151274739617272,0.9943554848024702
22.0,0.3,49,N=160k rejuv,160000,True,0.1,True,43049.63985999326,0.0013821546268123685,7,180065,True,True,0,-0.005368204886125383,0.002499707962848359,1.0011366835565803,False,False,0,-0.0030308638707394996,0.0028798378038780437,0.9969159825475097,False,False,0,-0.003303258941225736,0.002683487797047924,0.9972937842205033
