setting,policy,target,mse_published,mse_reproduced,mse_se,n_total,ratio,diff,z,z_combined,within_2se
probit_dep_poor,entropy_vector,q0.99,4.46,5.171358884473296,0.3887412007897018,250,1.1594975077294385,0.7113588844732961,1.829903501425159,1.293937174774737,True
probit_dep_poor,entropy_mu,q0.99,6.575,6.772502201026822,0.6527860776402217,250,1.0300383575706193,0.19750220102682192,0.3025527164132839,0.2139370774422435,True
probit_dep_poor,entropy_sigma,q0.99,5.265,10.05686621217519,1.1037829560915002,250,1.9101360327018406,4.791866212175191,4.341312017666234,3.069771166938447,False
probit_dep_poor,entropy_q0.95,q0.99,3.872,3.186530453425646,0.33505282571087713,250,0.8229675757814168,-0.6854695465743541,-2.0458551427524974,-1.446638044765663,True
probit_ind_poor,dror_steinberg,mu,0.777,0.8626466983430693,0.07666294960423037,250,1.110227410994941,0.08564669834306926,1.1171850129067191,0.7899690984663216,True
probit_ind_poor,entropy_vector,mu,0.744,0.8282016899138763,0.0847273782314886,250,1.1131743144003714,0.08420168991387633,0.9937955318742898,0.7027195597012019,True
probit_ind_poor,entropy_mu,mu,0.584,0.6528436624056979,0.06505801951178035,250,1.1178829835714006,0.06884366240569795,1.0581887201966256,0.7482524198261481,True
probit_ind_poor,entropy_sigma,mu,1.805,42.01107589474018,1.8895223231034068,250,23.274834290714782,40.20607589474018,21.27843392117461,15.046124918692422,False
probit_ind_poor,entropy_q0.95,mu,1.191,1.7070763004976413,0.16393792274449662,250,1.4333134345068357,0.5160763004976412,3.1479982901940597,2.2259709381598767,False
probit_ind_poor,dror_steinberg,sigma,0.683,0.8712977241183344,0.07257872667646367,250,1.275692129016595,0.18829772411833434,2.5943927751407743,1.8345127243634274,True
probit_ind_poor,entropy_vector,sigma,0.633,0.808086526965133,0.06369029795889566,250,1.276597988886466,0.17508652696513294,2.7490297985123258,1.9438576122119537,True
probit_ind_poor,entropy_mu,sigma,1.05,0.9550465759277998,0.08661485844201261,250,0.9095681675502856,-0.0949534240722002,-1.0962717688417183,-0.7751812017713502,True
probit_ind_poor,entropy_sigma,sigma,1.053,1.76104471995078,0.06309353339575426,250,1.6724071414537323,0.70804471995078,11.222144043028447,7.935254152277633,False
probit_ind_poor,entropy_q0.95,sigma,0.82,0.9598657510838823,0.09415631365371893,250,1.1705679891266858,0.13986575108388233,1.485463328548207,1.0503811928203775,True
probit_ind_poor,dror_steinberg,q0.95,2.553,2.8954905936574704,0.2453467395731611,250,1.1341522105983042,0.3424905936574705,1.395945160116308,0.9870822888827822,True
probit_ind_poor,entropy_vector,q0.95,2.448,3.162725330797377,0.25584280669522647,250,1.2919629619270332,0.7147253307973771,2.793611202244181,1.9753814251055635,True
probit_ind_poor,entropy_mu,q0.95,4.037,3.497140038639124,0.30475775754854634,250,0.8662719937178904,-0.5398599613608761,-1.7714396040431528,-1.252596956481326,True
probit_ind_poor,entropy_sigma,q0.95,5.119,62.17914978784346,2.7733814153090206,250,12.146737602626189,57.06014978784346,20.574216540455758,14.548168033356696,False
probit_ind_poor,entropy_q0.95,q0.95,1.694,1.6760912313172904,0.15737878509694195,250,0.9894281176607381,-0.01790876868270952,-0.11379404582185651,-0.08046454145928744,True
probit_ind_poor,dror_steinberg,q0.99,4.371,5.1163915270722855,0.43133078152683757,250,1.1705311203551327,0.7453915270722851,1.7281204101263672,1.221965660707232,True
probit_ind_poor,entropy_vector,q0.99,4.155,5.417106643212637,0.42698454913550504,250,1.3037561114831857,1.262106643212637,2.955860219691704,2.090108805583562,False
probit_ind_poor,entropy_mu,q0.99,7.118,6.190227245191874,0.5407264650132073,250,0.8696582249496873,-0.9277727548081263,-1.715789432990792,-1.2132463431560103,True
probit_ind_poor,entropy_sigma,q0.99,8.13,74.05242434051328,3.242461031588405,250,9.108539279275925,65.92242434051329,20.330984304295388,14.37617686976453,False
probit_ind_poor,entropy_q0.95,q0.99,3.203,3.1780167345980908,0.3106917408569815,250,0.9922000420225073,-0.024983265401909094,-0.08041174616678808,-0.056859691001587206,True
probit_ind_poor,bruceton,mu,0.603,0.6604099334593954,0.06329645040792078,250,1.0952071864998265,0.05740993345939538,0.9070008363725119,0.6413464419408734,True
probit_ind_poor,bruceton,sigma,1.301,0.9236926165743871,0.09714793673525537,250,0.7099866384122884,-0.3773073834256129,-3.883843508214071,-2.74629208172552,False
probit_ind_poor,bruceton,q0.95,4.539,3.2168262641310763,0.27657573341016367,250,0.7087081436728523,-1.3221737358689234,-4.780512446144836,-3.3803327682157027,False
probit_ind_poor,bruceton,q0.99,8.233,5.748321385292349,0.5190619603848858,250,0.6982049538797945,-2.4846786147076516,-4.786863234719138,-3.3848234538824746,False
beta_ind_well,dror_steinberg,mu,1.435,1.275717012251933,0.11110249821361359,250,0.8890014022661554,-0.15928298774806704,-1.4336580212788572,-1.0137493087487675,True
beta_ind_well,entropy_vector,mu,1.114,1.4045401680097547,0.1309068108289256,250,1.260808050278056,0.2905401680097546,2.2194427178387564,1.5693829962388857,True
beta_ind_well,entropy_mu,mu,1.016,0.9635340492020971,0.0927019534345614,250,0.9483602846477334,-0.05246595079790295,-0.5659638104059892,-0.40019684824425245,True
beta_ind_well,entropy_sigma,mu,2.528,0.421302340584534,0.009464297973819678,250,0.1666544068767935,-2.106697659415466,-222.59418133738532,-157.3978550763332,False
beta_ind_well,entropy_q0.95,mu,1.975,2.5508955924818983,0.19025536786605912,250,1.2915927050541256,0.5758955924818983,3.026961073115856,2.1403847011879304,False
beta_ind_well,dror_steinberg,sigma,1.078,1.0566058445925064,0.09657932145139983,250,0.980153844705479,-0.021394155407493676,-0.22151900723654946,-0.156637592178676,True
beta_ind_well,entropy_vector,sigma,1.022,1.1323557205205708,0.13434507546165644,250,1.1079801570651377,0.11035572052057074,0.8214348024395391,0.5808421191076301,True
beta_ind_well,entropy_mu,sigma,1.745,2.131990693971259,0.22121722844219358,250,1.2217711713302344,0.38699069397125907,1.749369597912596,1.2369911054855804,True
beta_ind_well,entropy_sigma,sigma,1.355,3.999427444402937,0.005510999126851849,250,2.9516069700390677,2.644427444402937,479.84537531827965,339.30191880855955,False
beta_ind_well,entropy_q0.95,sigma,1.343,1.504985447370436,0.1365456866851165,250,1.1206146294642114,0.16198544737043608,1.1863095151733747,0.8388475027652187,True
beta_ind_well,dror_steinberg,q0.01,6.978,7.415315352263124,0.6915033767775661,250,1.062670586452153,0.43731535226312435,0.6324124609499836,0.44718313964460604,True
beta_ind_well,entropy_vector,q0.01,6.868,7.758047051886975,0.8811749780034305,250,1.1295933389468513,0.8900470518869747,1.0100684587113977,0.7142262566174735,True
beta_ind_well,entropy_mu,q0.01,10.16,12.49391185640334,1.4941647552177444,250,1.2297157338979665,2.33391185640334,1.562017741519555,1.104513337362173,True
beta_ind_well,entropy_sigma,q0.01,6.821,9.158641261035225,0.045733430888169606,250,1.3427123971610064,2.337641261035225,51.11449579961275,36.143406596837465,False
beta_ind_well,entropy_q0.95,q0.01,13.307,15.067301778569998,1.3878424815513666,250,1.132283894083565,1.760301778569998,1.2683728895532054,0.8968750712762473,True
beta_ind_well,dror_steinberg,q0.05,3.79,3.8447310561807337,0.33001014120282846,250,1.014440911921038,0.054731056180733706,0.16584658877829847,0.11727124756179162,True
beta_ind_well,entropy_vector,q0.05,3.486,3.8647897366507977,0.40906501565758546,250,1.10866028016374,0.3787897366507975,0.9259890779021535,0.6547731562892909,True
beta_ind_well,entropy_mu,q0.05,5.047,6.058311059340656,0.6809737881742965,250,1.2003786525343088,1.011311059340656,1.4850954279047948,1.0501210477806178,True
beta_ind_well,entropy_sigma,q0.05,4.863,7.2082557251048796,0.038809407394209,250,1.4822652118249802,2.345255725104879,60.43008338887518,42.730521751942184,False
beta_ind_well,entropy_q0.95,q0.05,7.89,9.602506942485949,0.8061091915858188,250,1.2170477747130481,1.7125069424859491,2.1244106386096635,1.502185168585737,True
beta_ind_well,dror_steinberg,q0.95,4.912,4.473674812107304,0.40146250436262587,250,0.9107644161456238,-0.4383251878926959,-1.0918209873387663,-0.7720340239890333,True
beta_ind_well,entropy_vector,q0.95,4.198,5.249548710275316,0.48289429550491075,250,1.250488020551528,1.0515487102753154,2.1775960496195625,1.5397929333710303,True
beta_ind_well,entropy_mu,q0.95,6.918,7.8251277446882055,0.6670936420161699,250,1.1311257219844182,0.9071277446882053,1.3598207021529627,0.9615384396902124,True
beta_ind_well,entropy_sigma,q0.95,6.997,5.682950662599249,0.03644391657363303,250,0.8121981795911462,-1.3140493374007507,-36.05675407432631,-25.495975313531805,False
beta_ind_well,entropy_q0.95,q0.95,3.168,3.155211888644388,0.2536486278928408,250,0.9959633486882536,-0.012788111355612308,-0.050416639198280676,-0.035649947461739766,True
beta_ind_well,dror_steinberg,q0.99,8.07,7.462999236504379,0.6862368643109665,250,0.9247830528506045,-0.6070007634956216,-0.884535347871607,-0.625460942679215,True
beta_ind_well,entropy_vector,q0.99,7.119,8.59740183141779,0.8501062434802756,250,1.2076698737769054,1.4784018314177896,1.7390789007328256,1.2297144837266276,True
beta_ind_well,entropy_mu,q0.99,12.037,13.955527686236117,1.2493354473336729,250,1.1593858674284387,1.918527686236116,1.53563855914809,1.0858604386251536,True
beta_ind_well,entropy_sigma,q0.99,11.037,12.900023991962092,0.05806660138791474,250,1.1687980422181834,1.8630239919620912,32.084260959516705,22.686998493833062,False
beta_ind_well,entropy_q0.95,q0.99,5.834,5.8792906076304465,0.4863128827259472,250,1.0077632169404263,0.0452906076304469,0.0931305939842223,0.06585327454217467,True
beta_ind_well,bruceton,mu,0.89,0.9249791858984927,0.07925026129476719,250,1.039302456065722,0.03497918589849269,0.44137628478459456,0.31210016402611157,True
beta_ind_well,bruceton,sigma,2.343,1.9977610642152708,0.17627247909920016,250,0.8526509023539355,-0.3452389357847292,-1.9585526767932984,-1.3849058790716056,True
beta_ind_well,bruceton,q0.01,11.763,13.420938269396425,1.3611969378626194,250,1.140945189951239,1.6579382693964249,1.2180002931829652,0.8612562667968776,True
beta_ind_well,bruceton,q0.05,6.512,6.294628178867162,0.6064433880999833,250,0.966619806337095,-0.21737182113283726,-0.35843711943809586,-0.25345331778365005,True
beta_ind_well,bruceton,q0.95,8.39,6.825969879917124,0.5320354037291941,250,0.8135840142928633,-1.5640301200828768,-2.9397106078282107,-2.078689305521355,False
beta_ind_well,bruceton,q0.99,15.107,12.335340343528795,0.9809722477156653,250,0.8165314320201758,-2.771659656471204,-2.825421068664696,-1.9978743973601485,True
beta_ind_poor,dror_steinberg,mu,0.956,1.3875521170572673,0.11346551868088339,250,1.451414348386263,0.43155211705726737,3.8033767621596835,2.6893934999304467,False
beta_ind_poor,entropy_vector,mu,1.062,1.2664329731025723,0.11972813199398125,250,1.1924980914336838,0.20443297310257225,1.7074765111415011,1.207368219744903,True
beta_ind_poor,entropy_mu,mu,0.914,1.1016485341634397,0.101861717325691,250,1.2053047419731286,0.18764853416343963,1.8421889900349435,1.3026243270809057,True
beta_ind_poor,entropy_sigma,mu,1.678,20.551149485431296,1.5697704980208285,250,12.247407321472764,18.873149485431295,12.022871820579264,8.501454193668248,False
beta_ind_poor,entropy_q0.95,mu,1.842,2.231802287460281,0.19236705594791673,250,1.2116190485669278,0.3898022874602809,2.02634638004659,1.4328432663637567,True
beta_ind_poor,dror_steinberg,sigma,1.113,1.3278578496906335,0.12223824541107074,250,1.193043890108386,0.21485784969063348,1.757697429050094,1.2428797713554818,True
beta_ind_poor,entropy_vector,sigma,1.209,1.194075761600762,0.09885199907684135,250,0.9876557167913663,-0.014924238399238066,-0.15097558510310852,-0.10675586002001475,True
beta_ind_poor,entropy_mu,sigma,1.919,1.8485205211905582,0.13803891147218797,250,0.9632728093749652,-0.07047947880944183,-0.5105768950057391,-0.36103238477573,True
beta_ind_poor,entropy_sigma,sigma,1.362,2.5278264727469635,0.16606675304431104,250,1.8559665732356558,1.1658264727469634,7.020228019005645,4.964050837714694,False
beta_ind_poor,entropy_q0.95,sigma,1.375,1.697145070699048,0.16613773655850747,250,1.2342873241447623,0.3221450706990481,1.9390240734717166,1.371097071235813,True
beta_ind_poor,dror_steinberg,q0.01,7.199,8.293464853476838,0.9766822848788993,250,1.1520301227221612,1.094464853476838,1.1205945581500363,0.7923800110286335,True
beta_ind_poor,entropy_vector,q0.01,6.032,6.852304824262719,0.6347300277188624,250,1.135992179088647,0.8203048242627187,1.2923680753072107,0.9138422298387353,True
beta_ind_poor,entropy_mu,q0.01,6.969,8.2006591280057,0.781771144410189,250,1.1767339830686898,1.2316591280056999,1.5754727413672078,1.1140274589953123,True
beta_ind_poor,entropy_sigma,q0.01,6.22,13.243138567894338,0.977936481637287,250,2.129121956253109,7.023138567894338,7.181589704206571,5.078150779543958,False
beta_ind_poor,entropy_q0.95,q0.01,13.268,17.54824200543242,1.760876940185751,250,1.3225988849436554,4.28024200543242,2.430744538559808,1.7187959465478058,True
beta_ind_poor,dror_steinberg,q0.05,3.77,4.414335919379913,0.5030220921106001,250,1.1709113844509054,0.644335919379913,1.2809296638968333,0.905754051564456,True
beta_ind_poor,entropy_vector,q0.05,3.211,3.701384518596085,0.32883293433773025,250,1.1527201864204564,0.49038451859608534,1.4912877251292365,1.0544996631391432,True
beta_ind_poor,entropy_mu,q0.05,4.071,4.622641329420783,0.4203630033903672,250,1.1355051165366699,0.5516413294207831,1.3122975261181709,0.927934479652489,True
beta_ind_poor,entropy_sigma,q0.05,3.76,11.70217830695052,0.713697122475832,250,3.1122814646145,7.94217830695052,11.128219600212088,7.868839541843018,False
beta_ind_poor,entropy_q0.95,q0.05,7.931,10.317069695303163,0.9743029564590372,250,1.3008535739885465,2.3860696953031626,2.4490018012210357,1.7317057807814638,True
beta_ind_poor,dror_steinberg,q0.95,4.977,6.149832920383968,0.46570322116918716,250,1.2356505767297503,1.1728329203839678,2.5184127295479555,1.7807867188898818,True
beta_ind_poor,entropy_vector,q0.95,6.078,5.833152146971754,0.49762900295804735,250,0.9597157201335561,-0.2448478530282463,-0.4920289042093638,-0.34791697470622734,True
beta_ind_poor,entropy_mu,q0.95,9.175,8.51869456175797,0.5730313032110342,250,0.9284680721262092,-0.6563054382420308,-1.1453221395835833,-0.8098650515426372,True
beta_ind_poor,entropy_sigma,q0.95,7.487,44.540106993883555,3.638776797044545,250,5.948992519551696,37.05310699388355,10.182846890740453,7.200360088226925,False
beta_ind_poor,entropy_q0.95,q0.95,3.46,3.693282866519537,0.3065531577447459,250,1.0674227937917737,0.233282866519537,0.7609866694434183,0.5380988343560067,True
beta_ind_poor,dror_steinberg,q0.99,8.22,10.07832268208791,0.7868982065735194,250,1.2260733189887967,1.858322682087909,2.3615795112557385,1.6698888867201451,True
beta_ind_poor,entropy_vector,q0.99,9.937,9.497623081994732,0.7950357803337026,250,0.9557837457980006,-0.43937691800526757,-0.5526504955800187,-0.3907829130507372,True
beta_ind_poor,entropy_mu,q0.99,15.395,14.299967879446784,0.96753575885305,250,0.9288709242901452,-1.0950321205532152,-1.1317743148339072,-0.8002852927918144,True
beta_ind_poor,entropy_sigma,q0.99,11.904,57.560088162026354,4.649737149065042,250,4.835356868449795,45.65608816202635,9.819068626536612,6.943130010760118,False
beta_ind_poor,entropy_q0.95,q0.99,6.28,6.9049021725850395,0.6023892598348691,250,1.0995067153797833,0.6249021725850392,1.0373726994341523,0.7335332703876833,True
beta_ind_poor,bruceton,mu,1.046,0.9740095612730159,0.08375414254613597,250,0.931175488788734,-0.07199043872698419,-0.8595448122142525,-0.6077899654504155,True
beta_ind_poor,bruceton,sigma,2.267,1.698189529746648,0.1237451191575263,250,0.7490911026672467,-0.5688104702533519,-4.5966295408327325,-3.250307918925231,False
beta_ind_poor,bruceton,q0.01,10.222,8.315690385654595,0.7972492857493179,250,0.8135091357517702,-1.906309614345405,-2.391108588518464,-1.6907690974948,True
beta_ind_poor,bruceton,q0.05,5.688,4.537281686792372,0.4022692257618151,250,0.7976936861449319,-1.1507183132076273,-2.8605675987975556,-2.0227267471522707,False
beta_ind_poor,bruceton,q0.95,8.98,7.4134019304262075,0.5381157625131868,250,0.825545871985101,-1.5665980695737929,-2.9112658998451146,-2.058575859617637,False
