corr,efficiency,frac_negative,bias,est_max,ref_max,x_est,x_ref,edge_frac_est,edge_frac_ref,edge_est,edge_ref,ref_at_mu0,policy,replicate,step,posterior_sd_mu,posterior_sd_sigma
0.9506789020712562,0.9849998426263522,0.05,-0.0015814251779489898,0.01840089597921543,0.02331837803186143,26.632911392405063,26.9873417721519,0.37974683544303794,0.3924050632911393,False,False,0.005993860727480982,entropy_vector,5,30,0.7785691896194383,0.9253132525926365
0.9952928965955632,0.9999933014466252,0.35,-0.004285491018081689,0.014630429946933088,0.017053163436604915,44.0,16.0,0.0,0.0,True,True,6.8299447331110485e-06,entropy_sigma,6,0,5.990774679705557,3.846969621096617
0.980462338116929,1.0,0.3875,-0.003405468218199056,0.014751659525404304,0.016301913329562392,16.0,16.0,0.0,0.0,True,True,0.0004671136836886802,entropy_sigma,6,5,5.345959746151979,2.5985278674885444
0.9989001048428319,0.9970027591063524,0.4625,-0.0027184189466493503,0.009076067866753745,0.0093339339088465,44.0,16.354430379746834,0.0,0.012658227848101207,True,True,2.427203376509368e-06,entropy_sigma,6,10,5.081692989813963,2.068753202184159
0.9888081518745488,1.0,0.4625,-0.0013778618900935162,0.0057457588004632965,0.005292540638717237,43.64556962025317,43.64556962025317,0.01265822784810108,0.01265822784810108,True,True,1.8249501577694005e-06,entropy_sigma,6,20,4.8979609355152585,1.687082255083754
0.9782712452519967,0.9900692069759686,0.4625,-0.0010082538096794955,0.004035019372826118,0.0036047227678261927,43.64556962025317,43.291139240506325,0.01265822784810108,0.025316455696202667,True,True,9.805566463239046e-07,entropy_sigma,6,30,4.787064778493051,1.5165318372413552
0.9952928965955632,0.9999933014466252,0.35,-0.004285491018081689,0.014630429946933088,0.017053163436604915,44.0,16.0,0.0,0.0,True,True,6.8299447331110485e-06,entropy_vector,6,0,5.990774679705557,3.846969621096617
0.9941358447145018,1.0,0.0,-0.005904239218497281,0.06626463593294996,0.07813713634138258,23.79746835443038,23.79746835443038,0.27848101265822783,0.27848101265822783,False,False,0.07637319634642165,entropy_vector,6,5,1.8981974950286553,3.2904289746017477
0.9958775640946397,0.9975287387217591,0.1625,-0.01172248287494541,0.04344722008243074,0.056439704737543006,40.810126582278485,40.10126582278481,0.11392405063291124,0.13924050632911392,False,False,0.00010631546361250521,entropy_vector,6,10,2.8186174918915863,5.400465956803421
0.9817829728432934,0.983170616980386,0.1875,-0.008230594133248169,0.023481567996898545,0.031928964155935935,21.31645569620253,22.379746835443036,0.18987341772151897,0.22784810126582272,False,False,0.002651419785655418,entropy_vector,6,20,1.844978413932216,2.6797640138411953
0.966558236232139,0.987019843504115,0.15,-0.0038534627923362368,0.016252654654770382,0.021143919392397653,39.037974683544306,38.32911392405063,0.17721518987341764,0.2025316455696203,False,False,0.00032635153480686796,entropy_vector,6,30,1.409156955035181,1.670720659711771
0.9931037289119975,1.0,0.375,-0.005204864273682733,0.01306520835891245,0.017053163436604915,16.0,16.0,0.0,0.0,True,True,6.8299447331110485e-06,entropy_sigma,7,0,6.00654473904992,3.7072419061738975
0.9896790619322947,1.0,0.5,-0.005140150804025044,0.012002039706434556,0.014681512939927768,44.0,44.0,0.0,0.0,True,True,2.152397231647285e-05,entropy_sigma,7,5,5.278210833065592,2.5364670098690945
0.9935629040169771,0.9970035368170657,0.5125,-0.003265600685852573,0.009048542116654429,0.0093339339088465,16.0,16.354430379746834,0.0,0.012658227848101207,True,True,2.427203376509368e-06,entropy_sigma,7,10,5.0634951923372515,2.0608558418751546
0.9906899261774234,1.0,0.4375,-0.0011562072278446568,0.005638851388660646,0.005292545449187339,16.354430379746834,16.354430379746834,0.012658227848101207,0.012658227848101207,True,True,8.781430048676597e-07,entropy_sigma,7,20,4.87103773297518,1.6883357155514074
