target,setting,bruceton,dror_steinberg,entropy_mu,entropy_q0.95,entropy_sigma,entropy_vector
mu,probit_dep_well,,0.800024437872252,0.5531633873350394,1.2427081949973944,3.2102114604907475,0.7634441815909254
q0.5,probit_dep_well,,0.800024437872252,0.5531633873350394,1.2427081949973944,3.2102114604907475,0.7634441815909254
q0.95,probit_dep_well,,2.7929578204172283,3.9264706441103514,1.6157141397526875,4.1166223659963705,2.714585520404327
q0.99,probit_dep_well,,4.835929553564523,7.250047486273191,3.0154075197364554,6.1486912554504025,4.670406142536384
sigma,probit_dep_well,,0.7697469092155983,1.215710513033813,0.7882051473672809,1.3816834997290244,0.722997365196838
mu_SE,probit_dep_well,,0.06385445681674112,0.050858430479076025,0.1190156382725855,0.27008478768468086,0.06673688027230427
q0.5_SE,probit_dep_well,,0.06385445681674112,0.050858430479076025,0.1190156382725855,0.27008478768468086,0.06673688027230427
q0.95_SE,probit_dep_well,,0.2573526152235359,0.4235993052185701,0.1564470326705134,0.5696377056162061,0.22738437465596198
q0.99_SE,probit_dep_well,,0.4401252128405609,0.7898868470763627,0.2837865071965265,0.8156960301062166,0.39996921618963466
sigma_SE,probit_dep_well,,0.06342611177376671,0.13189508341028305,0.06894011738634943,0.05644819647735186,0.06508028439175727
mu,probit_ind_poor,0.6604099334593954,0.8626466983430693,0.6528436624056979,1.7070763004976413,42.01107589474018,0.8282016899138763
q0.5,probit_ind_poor,0.6604099334593954,0.8626466983430693,0.6528436624056979,1.7070763004976413,42.01107589474018,0.8282016899138763
q0.95,probit_ind_poor,3.2168262641310763,2.8954905936574704,3.497140038639124,1.6760912313172904,62.17914978784346,3.162725330797377
q0.99,probit_ind_poor,5.748321385292349,5.1163915270722855,6.190227245191874,3.1780167345980908,74.05242434051328,5.417106643212637
sigma,probit_ind_poor,0.9236926165743871,0.8712977241183344,0.9550465759277998,0.9598657510838823,1.76104471995078,0.808086526965133
mu_SE,probit_ind_poor,0.06329645040792078,0.07666294960423037,0.06505801951178035,0.16393792274449662,1.8895223231034068,0.0847273782314886
