pseudo_mu,pseudo_sigma,expected_loglik,converged,n_support,pseudo_mu_se,pseudo_sigma_se,pseudo_q0.5,pseudo_q0.5_se,physical_q0.5,pseudo_minus_physical_q0.5,pseudo_q0.95,pseudo_q0.95_se,physical_q0.95,pseudo_minus_physical_q0.95,pseudo_q0.99,pseudo_q0.99_se,physical_q0.99,pseudo_minus_physical_q0.99,n_replicates,n_boot,cell,block,dgp,pol,prior_name,scale,design_mean,design_sd,design_q05,design_q50,design_q95,design_min,design_max,design_n
37.999999519285666,2.999999892837028,-1.2469752800819347e-05,True,5,0.0,0.0,37.999999519285666,0.0,38.0,-4.80714334116783e-07,42.93456022387268,0.0,42.93456088085442,-6.569817401214095e-07,44.97904289210984,2.1423669563899043e-14,44.979043622122525,-7.300126867448853e-07,22,100,II|probit_shift38|fixed_design|shifted|s3,II,probit_shift38,fixed_design,shifted,s3,22.0,1.8667619023324857,19.36,22.0,24.64,19.36,24.64,1100
38.00000000206849,2.9999999956392127,-0.046367500557245006,True,199,1.9656423872983552e-08,1.3499421877018666e-08,38.00000000206849,1.9656423872983552e-08,38.0,2.068489379780658e-09,42.93456087575005,4.066711232408742e-08,42.93456088085442,-5.104368483443977e-09,44.979043614046304,4.967747227147123e-08,44.979043622122525,-8.076220581187954e-09,22,100,II|probit_shift38|uniform_grid|shifted|s3,II,probit_shift38,uniform_grid,shifted,s3,21.784595705801735,8.247551524371646,8.984924623115578,22.07035175879397,34.311557788944725,8.0,36.0,1100
30.067394020600233,3.4927369472442242,-0.35475318796630156,True,122,0.03201941341095952,0.05203276091859426,30.067394020600233,0.03201941341095952,30.0,0.0673940206002328,35.81243505626231,0.10685797585304413,37.93456088085442,-2.1221258245921106,38.19271519240573,0.14148183486442126,42.85904362212253,-4.666328429716799,22,100,II|tail_1.0|entropy_q0.95|shifted|s3,II,tail_1.0,entropy_q0.95,shifted,s3,32.16557332115121,4.360288782809027,22.35175879396985,33.608040201005025,36.0,13.206030150753769,36.0,1100
30.000000040132207,3.000000017096609,-0.05164063548216409,True,5,3.570611593983174e-15,1.3389793477436902e-15,30.000000040132207,3.570611593983174e-15,30.0,4.0132206891030364e-08,34.93456094910805,0.0,37.93456088085442,-2.9999999317463732,36.97904370202739,7.141223187966347e-15,42.85904362212253,-5.879999920095138,22,100,II|tail_1.0|fixed_design|shifted|s3,II,tail_1.0,fixed_design,shifted,s3,22.0,1.8667619023324857,19.36,22.0,24.64,19.36,24.64,1100
30.117082837341307,3.1928555801967895,-0.42822347195810917,True,95,0.03040606997726192,0.045549371676452954,30.117082837341307,0.03040606997726192,30.0,0.11708283734130731,35.36886291876024,0.10465507160573723,37.93456088085442,-2.565697962094177,37.544775628451546,0.13563489942956225,42.85904362212253,-5.314267993670981,22,100,II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,29.691621745089083,3.597770178718144,24.743718592964825,29.246231155778894,35.57788944723618,21.78894472361809,36.0,1100
30.107586608365107,3.1646355921083758,-0.20068025223492597,True,199,0.010897250599070324,0.011975239559454676,30.107586608365107,0.010897250599070324,30.0,0.10758660836510714,35.31294894002429,0.029275483510693513,37.93456088085442,-2.621611940830128,37.46962989018041,0.03728676325866261,42.85904362212253,-5.3894137319421205,22,100,II|tail_1.0|uniform_grid|shifted|s3,II,tail_1.0,uniform_grid,shifted,s3,22.14671539515761,7.9228711492546955,9.266331658291458,22.21105527638191,34.311557788944725,8.0,36.0,1100
29.64915371629005,1.5670487783249203,-0.33386298178166396,True,81,0.01430497703637759,0.017799542395837902,29.64915371629005,0.01430497703637759,30.00000000000299,-0.35084628371294,32.22671958292767,0.02629215913279093,31.907344810864267,0.31937477206340503,33.29465431026453,0.03735229638876424,32.467664584118516,0.8269897261460102,22,100,Ib|cloglog_1.0|entropy_vector|cal|s1.5,Ib,cloglog_1.0,entropy_vector,cal,s1.5,29.63020557332115,2.3217395394714115,26.130653266331656,29.507537688442213,32.743718592964825,22.472361809045225,34.99497487437186,1100
29.71232416637096,1.5850535421848821,-0.3209348520886087,True,5,1.7853057969915867e-14,2.2316322462394835e-16,29.71232416637096,1.7853057969915867e-14,30.00000000000299,-0.28767583363203286,32.31950523414604,0.0,31.907344810864267,0.41216042328177593,33.39971010447366,7.141223187966347e-15,32.467664584118516,0.9320455203551461,22,100,Ib|cloglog_1.0|fixed_design|cal|s1.5,Ib,cloglog_1.0,fixed_design,cal,s1.5,30.0,2.545584412271572,26.4,30.0,33.6,26.4,33.6,1100
29.820955730629642,5.941554343035354,-0.6392558338556472,True,5,7.141223187966347e-15,8.926528984957934e-16,29.820955730629642,7.141223187966347e-15,30.00000000009181,-0.17904426946216745,39.593942941500615,7.141223187966347e-15,37.62937924766899,1.9645636938316215,43.643078045048064,7.141223187966347e-15,39.87065834190087,3.772419703147193,22,100,Ib|cloglog_1.0|fixed_design|cal|s6.0,Ib,cloglog_1.0,fixed_design,cal,s6.0,30.0,2.545584412271572,26.4,30.0,33.6,26.4,33.6,1100
29.018870571898297,6.123458021795722,-0.42730238617278543,True,186,0.04828181230533682,0.06120531356358664,29.018870571898297,0.04828181230533682,30.00000000009181,-0.9811294281935119,39.09106270853408,0.08825971578348164,37.62937924766899,1.461683460865089,43.26416412268111,0.12645324108985728,39.87065834190087,3.393505780780238,22,100,Ib|cloglog_1.0|entropy_vector|cal|s6.0,Ib,cloglog_1.0,entropy_vector,cal,s6.0,29.314006395614435,6.8545472421864435,18.66633165829146,29.78894472361809,38.3788944723618,16.0,44.0,1100
29.999999994752415,1.4999999950764829,-0.33261904395681124,True,81,5.069999368068962e-09,4.151842589176089e-09,29.999999994752415,5.069999368068962e-09,30.0,-5.247585477263783e-09,32.46728042708116,9.9836047305309e-09,32.46728044042721,-1.3346053151508386e-08,33.48952179435986,1.2555762533972178e-08,33.48952181106126,-1.6701399374596804e-08,22,100,Ib|probit|entropy_vector|cal|s1.5,Ib,probit,entropy_vector,cal,s1.5,30.022384650525353,2.298226382754591,26.69346733668342,29.92964824120603,33.45427135678391,23.879396984924625,37.38693467336684,1100
29.99999999920178,5.999999938090027,-0.43406881015239007,True,182,2.500633075345083e-08,4.0196421254208395e-08,29.99999999920178,2.500633075345083e-08,30.0,-7.982201566392177e-10,39.86912165907777,6.854606955885796e-08,39.86912176170883,-1.0263106275942846e-07,43.95808709942269,9.459275578059317e-08,43.95808724424504,-1.4482235144441802e-07,22,100,Ib|probit|entropy_vector|cal|s6.0,Ib,probit,entropy_vector,cal,s6.0,30.16833257195066,6.629823172807713,20.22110552763819,30.07035175879397,39.7859296482412,16.7035175879397,44.0,1100
30.00000005756231,5.99999994980869,-0.6403877072164654,True,5,3.570611593983174e-15,2.6779586954873804e-15,30.00000005756231,3.570611593983174e-15,30.0,5.7562310473713296e-08,39.86912173671379,7.141223187966347e-15,39.86912176170883,-2.4995046032927348e-08,43.95808718504491,7.141223187966347e-15,43.95808724424504,-5.92001327959224e-08,22,100,Ib|probit|fixed_design|cal|s6.0,Ib,probit,fixed_design,cal,s6.0,30.0,2.545584412271572,26.4,30.0,33.6,26.4,33.6,1100
29.999999995460907,1.5000000087246783,-0.3050169660380057,True,5,1.4282446375932695e-14,4.463264492478967e-16,29.999999995460907,1.4282446375932695e-14,30.0,-4.539092657296351e-09,32.46728045023893,7.141223187966347e-15,32.46728044042721,9.811721213281999e-09,33.4895218268188,1.4282446375932695e-14,33.48952181106126,1.5757542826122517e-08,22,100,Ib|probit|fixed_design|cal|s1.5,Ib,probit,fixed_design,cal,s1.5,30.0,2.545584412271572,26.4,30.0,33.6,26.4,33.6,1100
30.13408419148532,1.7092284243483011,-0.3509183691187444,True,89,0.027114407108437405,0.034865307899580526,30.13408419148532,0.027114407108437405,30.0,0.13408419148532147,32.94551476456317,0.08408539126180598,33.96728044042721,-1.0217656758640388,34.110344102718166,0.10780685755722724,36.429521811061264,-2.3191777083430978,22,100,Ib|tail_1.0|entropy_vector|cal|s1.5,Ib,tail_1.0,entropy_vector,cal,s1.5,30.147227044312473,2.4956270994521184,26.68643216080402,30.07035175879397,34.29145728643216,23.879396984924625,37.527638190954775,1100
30.198408611666277,6.3980378300863086,-0.4544106865242952,True,182,0.033377298474644046,0.0697801314347878,30.198408611666277,0.033377298474644046,30.0,0.19840861166627732,40.72224434185647,0.14648715313254643,45.86912176170883,-5.146877419852366,45.082470315720435,0.19392595623271802,55.71808724424505,-10.635616928524612,22,100,Ib|tail_1.0|entropy_vector|cal|s6.0,Ib,tail_1.0,entropy_vector,cal,s6.0,30.424157149383284,6.675530028465147,20.36180904522613,30.21105527638191,40.489447236180894,16.7035175879397,44.0,1100
30.00000005756231,5.99999994980869,-0.6403877072164654,True,5,3.570611593983174e-15,2.6779586954873804e-15,30.00000005756231,3.570611593983174e-15,30.0,5.7562310473713296e-08,39.86912173671379,7.141223187966347e-15,45.86912176170883,-6.000000024995046,43.95808718504491,7.141223187966347e-15,55.71808724424505,-11.760000059200138,22,100,Ib|tail_1.0|fixed_design|cal|s6.0,Ib,tail_1.0,fixed_design,cal,s6.0,30.0,2.545584412271572,26.4,30.0,33.6,26.4,33.6,1100
30.14564217919922,1.7578805771078605,-0.35006747800950944,True,5,3.570611593983174e-15,6.694896738718451e-16,30.14564217919922,3.570611593983174e-15,30.0,0.1456421791992213,33.03709842220263,0.0,33.96728044042721,-0.9301820182245777,34.235083922571775,1.4282446375932695e-14,36.429521811061264,-2.194437888489489,22,100,Ib|tail_1.0|fixed_design|cal|s1.5,Ib,tail_1.0,fixed_design,cal,s1.5,30.0,2.545584412271572,26.4,30.0,33.6,26.4,33.6,1100
29.52952191561193,3.0183702881414454,-0.4415097136905963,True,90,0.021681936136895587,0.02452624176414915,29.52952191561193,0.021681936136895587,30.000000000036525,-0.47047808442459527,34.49429923154395,0.04205013341108367,33.81468962342685,0.6796096081170973,36.55130121849782,0.057093922626301176,34.935329170425796,1.6159720480720239,22,100,Ic|cloglog_1.0|entropy_vector|narrow|s3,Ic,cloglog_1.0,entropy_vector,narrow,s3,29.740593878483327,3.1717732079625653,25.00502512562814,29.92964824120603,33.86934673366834,23.035175879396984,35.97989949748744,1100
29.496677842106063,3.1788472809986903,-0.42341116652714994,True,104,0.031570850338077626,0.03566595825840617,29.496677842106063,0.031570850338077626,30.000000000036525,-0.5033221579304623,34.72541632178159,0.06383794829096,33.81468962342685,0.9107266983547362,36.89178245615787,0.0858341857200169,34.935329170425796,1.9564532857320742,22,100,Ic|cloglog_1.0|entropy_vector|shifted|s3,Ic,cloglog_1.0,entropy_vector,shifted,s3,29.00063956144358,3.648766139042174,23.32964824120603,28.542713567839197,34.17085427135679,17.42713567839196,36.0,1100
29.699269762326338,2.9340540506242325,-0.5125526301346293,True,5,1.0711834781949522e-14,4.463264492478967e-16,29.699269762326338,1.0711834781949522e-14,30.000000000036525,-0.30073023771018725,34.52535920916726,7.141223187966347e-15,33.81468962342685,0.710669585740412,36.524900165316936,7.141223187966347e-15,34.935329170425796,1.5895709948911403,22,100,Ic|cloglog_1.0|fixed_design|narrow|s3,Ic,cloglog_1.0,fixed_design,narrow,s3,30.0,2.545584412271572,26.4,30.0,33.6,26.4,33.6,1100
32.66756138414346,5.794333097148236,-0.15786112110320857,True,5,7.141223187966347e-15,8.926528984957934e-16,32.66756138414346,7.141223187966347e-15,30.000000000036525,2.6675613841069357,42.198391194752695,7.141223187966347e-15,33.81468962342685,8.383701571325844,46.14719586617874,1.4282446375932695e-14,34.935329170425796,11.211866695752946,22,100,Ic|cloglog_1.0|fixed_design|shifted|s3,Ic,cloglog_1.0,fixed_design,shifted,s3,22.0,1.8667619023324857,19.36,22.0,24.64,19.36,24.64,1100
29.999999994602877,3.0000000010689045,-0.4310150268340443,True,100,5.672163863330519e-09,6.091843206384642e-09,29.999999994602877,5.672163863330519e-09,30.0,-5.397122748718175e-09,34.93456087721549,1.2167303056902164e-08,34.93456088085442,-3.6389309343576315e-09,36.97904361921204,1.596512271931469e-08,36.979043622122525,-2.9104825216563768e-09,22,100,Ic|probit|entropy_vector|narrow|s3,Ic,probit,entropy_vector,narrow,s3,30.071630881681127,3.3290202195922167,25.28643216080402,30.07035175879397,34.99497487437186,23.457286432160803,38.231155778894475,1100
