fit_r_prior,dgp,design,design_r_prior,n,target,n_pairs,width_ratio_mean,width_ratio_median,width_ratio_se,width_probit_mean,width_robit_mean,coverage_gain,coverage_gain_se
near_probit,probit,mi2,,100,q0.95,6,1.0469483543553684,1.05092876577001,0.0040555226580239676,3.9441348077172074,4.129033167701696,0.0,0.0
near_probit,probit,mi2,,200,q0.95,6,1.0556360489946954,1.0582829119320234,0.002616572425238967,2.539617093472266,2.680918004180017,0.0,0.0
reference_uniform,probit,mi2,,50,q0.95,6,1.3294148648715611,1.3339931670748002,0.013932088670667905,6.580885688460438,8.72598845263998,0.0,0.0
reference_uniform,probit,mi2,,100,q0.95,6,1.3424793764653344,1.3663387187631435,0.022168481724774577,3.9441348077172074,5.297587087664976,0.0,0.0
reference_uniform,probit,mi2,,200,q0.95,6,1.4181350461995876,1.4319647691507482,0.015389051022828702,2.539617093472266,3.6027762094231712,0.0,0.0
heavy_tail,probit,mi2,,50,q0.99,6,2.3926446039716414,2.4161417325013295,0.034215877685019096,8.624828188463114,20.568215226338356,-0.6666666666666666,0.210818510677892
heavy_tail,probit,mi2,,100,q0.99,6,2.624846782854471,2.671147797826226,0.06374506404315948,5.137169921063022,13.491310519495324,-0.8333333333333334,0.16666666666666669
heavy_tail,probit,mi2,,200,q0.99,6,3.0844833039315085,3.1044710645305846,0.06518820237804325,3.291945112812357,10.164800189545627,-0.8333333333333334,0.16666666666666669
near_probit,probit,mi2,,50,q0.99,6,1.1126503919830677,1.1137016092796923,0.0026157242008146707,8.624828188463114,9.590682360110062,0.0,0.0
near_probit,probit,mi2,,100,q0.99,6,1.1397324598946386,1.1438641471862754,0.003846062542032211,5.137169921063022,5.8554349849937894,0.0,0.0
near_probit,probit,mi2,,200,q0.99,6,1.202587859898902,1.2022825450134267,0.0023367945925145115,3.291945112812357,3.957978910962795,0.0,0.0
reference_uniform,probit,mi2,,50,q0.99,6,2.1338056208644223,2.145208173839296,0.02422039049282043,8.624828188463114,18.361703305155448,-0.16666666666666666,0.16666666666666669
reference_uniform,probit,mi2,,100,q0.99,6,2.472751436473307,2.509204210317227,0.04981682211409358,5.137169921063022,12.713551786647043,-0.16666666666666666,0.16666666666666669
reference_uniform,probit,mi2,,200,q0.99,6,3.038880884259012,3.0407895763850883,0.041912531580128996,3.291945112812357,10.010636657546673,-0.16666666666666666,0.16666666666666669
heavy_tail,probit,mi3,heavy_tail,50,q0.5,6,1.062487764292038,1.055406990946457,0.01231055496321558,2.8581517521494053,3.0462373448026114,0.0,0.0
near_probit,probit,mi3,near_probit,50,q0.5,6,1.0197887876087455,1.0209672985031053,0.0017290472164353192,2.6335916219442432,2.6852177797513117,0.0,0.0
reference_uniform,probit,mi3,reference_uniform,50,q0.5,6,1.0649536914606743,1.0716408476074808,0.009494179457860212,2.8926746290359096,3.085471783859465,0.0,0.0
heavy_tail,probit,mi3,heavy_tail,50,q0.95,6,1.4638315802232862,1.4610840283610256,0.010712201297163253,7.4748774627036925,10.956765452899816,-0.16666666666666666,0.16666666666666669
near_probit,probit,mi3,near_probit,50,q0.95,6,1.0446237160188152,1.0486712628246564,0.004249275099431312,5.227957042700489,5.461422212753642,0.0,0.0
reference_uniform,probit,mi3,reference_uniform,50,q0.95,6,1.3431099512715459,1.3393610130746372,0.005603352774263891,6.836560363433968,9.18049098015438,0.0,0.0
heavy_tail,probit,mi3,heavy_tail,50,q0.99,6,2.3768018024651196,2.357488860291845,0.02339788089034378,10.161680219345442,24.191866986600058,-0.3333333333333333,0.210818510677892
near_probit,probit,mi3,near_probit,50,q0.99,6,1.108529810382689,1.1129349139810787,0.004714612624057691,6.890695912060145,7.642051920477036,0.0,0.0
reference_uniform,probit,mi3,reference_uniform,50,q0.99,6,2.138420772009132,2.150534580720832,0.022569262412748224,9.224813759389981,19.731145685558513,0.0,0.0
heavy_tail,robit_1.0,mi2,,50,q0.5,6,1.1687501325812002,1.1823912027843821,0.022926890238336564,3.8228233963752327,4.489109189721344,0.0,0.0
near_probit,robit_1.0,mi2,,50,q0.5,6,1.0221001704410027,1.0238818957126048,0.002653151364248365,3.8228233963752327,3.910064246282811,0.0,0.0
reference_uniform,robit_1.0,mi2,,50,q0.5,6,1.1180362886193203,1.1274330343246188,0.01574517552125513,3.8228233963752327,4.290301727843979,0.0,0.0
heavy_tail,robit_1.0,mi2,,50,q0.95,6,1.476007745732068,1.483209028864261,0.01117650889773102,7.493308039900923,11.071256763595342,0.0,0.0
near_probit,robit_1.0,mi2,,50,q0.95,6,1.0489264989810667,1.0505397695320298,0.0017779010144859512,7.493308039900923,7.861301458451418,0.0,0.0
reference_uniform,robit_1.0,mi2,,50,q0.95,6,1.3349554778955195,1.3408829110711866,0.008166487455015367,7.493308039900923,10.013907343152571,0.0,0.0
heavy_tail,robit_1.0,mi2,,50,q0.99,6,2.4044956069954697,2.39843374440745,0.019832481237213866,9.840667157942098,23.66612585974437,0.16666666666666666,0.16666666666666669
near_probit,robit_1.0,mi2,,50,q0.99,6,1.1136054926992245,1.1154519381245942,0.0018584912196160418,9.840667157942098,10.961656568780652,0.0,0.0
reference_uniform,robit_1.0,mi2,,50,q0.99,6,2.151486805849725,2.1453150568778305,0.018433377745188984,9.840667157942098,21.194938504552383,0.16666666666666666,0.16666666666666669
heavy_tail,robit_1.0,mi3,heavy_tail,50,q0.5,6,1.0702246602722985,1.0717585820705529,0.008817107039921657,3.1991905085475096,3.4274641857652672,0.0,0.0
near_probit,robit_1.0,mi3,near_probit,50,q0.5,6,1.0214862569917988,1.021550982454688,0.00113062943047866,2.9931053146011206,3.059131195759139,0.0,0.0
reference_uniform,robit_1.0,mi3,reference_uniform,50,q0.5,6,1.058340966082164,1.0603175342371887,0.008054341344562331,3.4071388873490527,3.608617257415467,0.16666666666666666,0.16666666666666669
heavy_tail,robit_1.0,mi3,heavy_tail,50,q0.95,6,1.4759058995959766,1.4753280193355809,0.011814153025518387,8.687783818744998,12.83976547857561,0.0,0.0
near_probit,robit_1.0,mi3,near_probit,50,q0.95,6,1.0480598292517704,1.0476534959349122,0.0012029206872717785,5.9882968820676235,6.273872941115052,0.0,0.0
reference_uniform,robit_1.0,mi3,reference_uniform,50,q0.95,6,1.3371116571724861,1.3380208305909023,0.0038618365093699885,7.977863213098378,10.663831726288247,0.0,0.0
heavy_tail,robit_1.0,mi3,heavy_tail,50,q0.99,6,2.3955348719212153,2.3957432695492895,0.02159217634998418,11.84344160583647,28.41438314626249,0.0,0.0
near_probit,robit_1.0,mi3,near_probit,50,q0.99,6,1.1131999875901317,1.1129537765177346,0.0010105768545459587,7.906178585725943,8.803048516533048,0.16666666666666666,0.16666666666666669
reference_uniform,robit_1.0,mi3,reference_uniform,50,q0.99,6,2.1373857854593235,2.148982226150106,0.013797848522067483,10.767271289935337,23.024221640518657,0.0,0.0
heavy_tail,tail_1.0,mi2,,50,q0.5,6,1.1705404220176647,1.1866869606320496,0.02341984464725394,3.6776582629536754,4.312894253243999,0.0,0.0
heavy_tail,tail_1.0,mi2,,100,q0.5,6,1.216510796844952,1.221378444415775,0.018018257432290134,2.4516683951273586,2.9838803716914675,0.0,0.0
heavy_tail,tail_1.0,mi2,,200,q0.5,6,1.2610616899189087,1.2622836883775257,0.01399701725950817,1.616194249372463,2.038982592807168,0.0,0.0
near_probit,tail_1.0,mi2,,50,q0.5,6,1.023262556247215,1.0251454893346383,0.0028132889797122854,3.6776582629536754,3.7643182742846792,0.0,0.0
near_probit,tail_1.0,mi2,,100,q0.5,6,1.0272729890194279,1.0271981989825996,0.0018545915588835658,2.4516683951273586,2.5184875770700876,0.0,0.0
near_probit,tail_1.0,mi2,,200,q0.5,6,1.0313040495076142,1.031253048556461,0.001316240406511482,1.616194249372463,1.666993115192246,0.0,0.0
reference_uniform,tail_1.0,mi2,,50,q0.5,6,1.1187607975448708,1.1293580482074361,0.015472870600336865,3.6776582629536754,4.121910413217336,0.0,0.0
reference_uniform,tail_1.0,mi2,,100,q0.5,6,1.1506263565963581,1.1535736919376391,0.01187575560711783,2.4516683951273586,2.8221536315859344,0.0,0.0
reference_uniform,tail_1.0,mi2,,200,q0.5,6,1.1822473574533958,1.1840302412154602,0.009993917660870811,1.616194249372463,1.912587517232737,0.0,0.0
heavy_tail,tail_1.0,mi2,,50,q0.95,6,1.4716547176467738,1.480158290828462,0.013083869006019115,7.204088740313949,10.591745035934867,0.16666666666666666,0.16666666666666669
heavy_tail,tail_1.0,mi2,,100,q0.95,6,1.491445984004132,1.4955787660862354,0.02866686548359542,4.469759014766249,6.692220232976472,0.3333333333333333,0.210818510677892
heavy_tail,tail_1.0,mi2,,200,q0.95,6,1.543255819411371,1.5503045578562773,0.02075418970291817,2.827061077870147,4.365380895092263,0.5,0.22360679774997896
near_probit,tail_1.0,mi2,,50,q0.95,6,1.048689953622438,1.048172790089697,0.001270453724757265,7.204088740313949,7.5535359696247175,0.16666666666666666,0.16666666666666669
near_probit,tail_1.0,mi2,,100,q0.95,6,1.0501287924213607,1.05092876577001,0.003057051578764465,4.469759014766249,4.696248473373552,0.16666666666666666,0.16666666666666669
near_probit,tail_1.0,mi2,,200,q0.95,6,1.0583910180813547,1.0584691390033363,0.002564631207393966,2.827061077870147,2.992632103090518,0.16666666666666666,0.16666666666666669
reference_uniform,tail_1.0,mi2,,50,q0.95,6,1.331640500753924,1.3339931670748002,0.008522861069382402,7.204088740313949,9.589175549311623,0.16666666666666666,0.16666666666666669
