cell,block,dgp,pol,prior_name,scale,n,backend,target,n_rep,coverage,coverage_se,bias,rmse,mean_width,median_width,w_star,frac_narrow,false_certainty,false_certainty_se,delta,curve_scale,dangerous_error,dangerous_error_se,decision_loss_10to1,unresolved_rate,frac_all_equal,x_min_mean,x_max_mean,target_true,target_outside_sampled
II|tail_1.0|entropy_q0.95|shifted|s3,II,tail_1.0,entropy_q0.95,shifted,s3,30,particle,q0.5,22,0.9545454545454546,0.04440947367810882,-0.06289450520099651,1.459201190645723,5.701249161589021,5.479421920203457,,0.0,,,1.8825082281539385,3.765016456307877,0.13636363636363635,0.0731650049984536,6.967135563315884,0.0,0.0,21.002284148012794,35.38602101416172,30.0,0.0
II|tail_1.0|entropy_q0.95|shifted|s3,II,tail_1.0,entropy_q0.95,shifted,s3,30,particle,q0.95,22,0.5454545454545454,0.10615894693111677,-3.1770029170560976,3.5644049696666533,6.365081030603875,6.071679546134851,,0.0,,,1.8825082281539385,3.765016456307877,0.8181818181818182,0.08223036670302644,32.598583949759195,0.0,0.0,21.002284148012794,35.38602101416172,37.93456088085442,1.0
II|tail_1.0|entropy_q0.95|shifted|s3,II,tail_1.0,entropy_q0.95,shifted,s3,30,particle,q0.99,22,0.4090909090909091,0.10482356110715554,-6.112709256697548,6.468571836615819,9.257204235237184,8.977836652450765,,0.0,,,1.8825082281539385,3.765016456307877,0.9090909090909091,0.06129089658756747,61.12709256697549,0.0,0.0,21.002284148012794,35.38602101416172,42.85904362212253,1.0
II|tail_1.0|entropy_q0.95|shifted|s3,II,tail_1.0,entropy_q0.95,shifted,s3,50,particle,q0.5,22,0.9545454545454546,0.04440947367810882,0.05498016560752703,1.1747126479816488,4.528066957961338,4.3937515186128735,2.5238625928067258,0.0,0.0,0.0,1.8825082281539385,3.765016456307877,0.045454545454545456,0.04440947367810884,4.418763209239702,0.0,0.0,20.83599817268159,35.62905436272271,30.0,0.0
II|tail_1.0|entropy_q0.95|shifted|s3,II,tail_1.0,entropy_q0.95,shifted,s3,50,particle,q0.95,22,0.5454545454545454,0.10615894693111677,-2.6923331512886888,3.0681974081626064,4.782460889320929,4.696927809981666,4.962188850452113,0.6363636363636364,0.45454545454545453,0.10615894693111677,1.8825082281539385,3.765016456307877,0.7272727272727273,0.09495144870310791,26.95687284385524,0.0,0.0,20.83599817268159,35.62905436272271,37.93456088085442,1.0
II|tail_1.0|entropy_q0.95|shifted|s3,II,tail_1.0,entropy_q0.95,shifted,s3,50,particle,q0.99,22,0.36363636363636365,0.10255928633050294,-5.472846656312989,5.810797059277115,6.9192840257625186,6.744515689334889,6.505481304742142,0.36363636363636365,0.36363636363636365,0.10255928633050294,1.8825082281539385,3.765016456307877,1.0,0.0,54.7284665631299,0.0,0.0,20.83599817268159,35.62905436272271,42.85904362212253,1.0
II|tail_1.0|entropy_q0.95|shifted|s3,II,tail_1.0,entropy_q0.95,shifted,s3,50,ref,q0.5,22,0.9545454545454546,0.04440947367810882,-0.08775588407852876,1.203857377636043,4.5465269083409785,4.357034351657015,2.5238625928067258,0.0,0.0,0.0,1.8825082281539385,3.765016456307877,0.09090909090909091,0.061290896587567464,5.213922756617884,0.0,0.0,20.83599817268159,35.62905436272271,30.0,0.0
II|tail_1.0|entropy_q0.95|shifted|s3,II,tail_1.0,entropy_q0.95,shifted,s3,50,ref,q0.95,22,0.5454545454545454,0.10615894693111677,-2.5180211651628785,2.9419392049404482,4.7913173446535815,4.612785261420129,4.962188850452113,0.6363636363636364,0.45454545454545453,0.10615894693111677,1.8825082281539385,3.765016456307877,0.6818181818181818,0.09930260198923899,25.301759320883885,0.0,0.0,20.83599817268159,35.62905436272271,37.93456088085442,1.0
II|tail_1.0|entropy_q0.95|shifted|s3,II,tail_1.0,entropy_q0.95,shifted,s3,50,ref,q0.99,22,0.36363636363636365,0.10255928633050294,-5.161969198625421,5.550872509460419,6.931369662379684,6.74704146141811,6.505481304742142,0.36363636363636365,0.36363636363636365,0.10255928633050294,1.8825082281539385,3.765016456307877,0.9545454545454546,0.04440947367810882,51.619691986254196,0.0,0.0,20.83599817268159,35.62905436272271,42.85904362212253,1.0
II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,20,particle,q0.5,22,0.9545454545454546,0.04440947367810882,0.06177569691642921,1.0616852455149381,4.51940965788942,4.685999205323421,,0.0,,,1.8825082281539385,3.765016456307877,0.0,0.0,3.7126528479493004,0.0,0.0,21.98720877112837,33.75513933302878,30.0,0.0
II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,20,particle,q0.95,22,0.8636363636363636,0.0731650049984536,-3.1432554929213996,3.8769097845240292,10.765961308161826,10.407731909719846,,0.0,,,1.8825082281539385,3.765016456307877,0.7727272727272727,0.08934606739851096,33.36688071996687,0.0,0.0,21.98720877112837,33.75513933302878,37.93456088085442,1.0
II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,20,particle,q0.99,22,0.8181818181818182,0.08223036670302644,-6.117801039264385,6.761401033089501,14.542177930428824,14.06891406321692,,0.0,,,1.8825082281539385,3.765016456307877,0.9545454545454546,0.04440947367810882,62.348769747766966,0.0,0.0,21.98720877112837,33.75513933302878,42.85904362212253,1.0
II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,30,particle,q0.5,22,0.9545454545454546,0.04440947367810882,0.1348921384259752,0.848471199749218,3.5558261133651956,3.59404495124012,,0.0,,,1.8825082281539385,3.765016456307877,0.0,0.0,2.787490235733383,0.0,0.0,21.98720877112837,34.356327089995425,30.0,0.0
II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,30,particle,q0.95,22,0.8636363636363636,0.0731650049984536,-3.0760687310874872,3.5773103238105475,7.848630411403139,7.601808409886601,,0.0,,,1.8825082281539385,3.765016456307877,0.7272727272727273,0.09495144870310791,31.65494106296145,0.0,0.0,21.98720877112837,34.356327089995425,37.93456088085442,1.0
II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,30,particle,q0.99,22,0.5909090909090909,0.10482356110715556,-6.043435485825622,6.463879955644708,10.519546386356886,10.077659898926544,,0.0,,,1.8825082281539385,3.765016456307877,0.9545454545454546,0.04440947367810882,60.434354858256235,0.0,0.0,21.98720877112837,34.356327089995425,42.85904362212253,1.0
