mu_true,sigma_true,target,mean_diff_sd_units,sd_ratio,rank_diff,covered_prod,covered_audit,prod_box_width_mu,cells_per_posterior_sd
38.0,0.3,q0.99,3.874434969682532e-06,1.0000009066670288,9.290309980741762e-05,True,True,49.306639877929676,5.3531083744665935
30.0,0.3,q0.5,0.0001875454715388128,0.9999873183593145,0.00021769531113469132,False,False,53.40769019268465,1.7000723012867514
30.0,0.3,q0.95,0.00014020959714306286,1.0000083421466945,0.0009958739719391208,True,True,53.40769019268465,4.133640505049283
30.0,0.3,q0.99,0.00016910891883704167,0.9999753905616194,0.000596996590873089,True,True,53.40769019268465,5.6283687201992825
30.0,0.3,q0.5,5.5428448546044097e-05,1.0000054759337675,0.0012001561104965364,False,False,47.965209234191896,1.8083733176932029
30.0,0.3,q0.95,8.18111794674469e-05,1.0000603014478462,0.00090698122933279,True,True,47.965209234191896,4.041576941942231
30.0,0.3,q0.99,8.041484906458842e-05,1.0000586081822171,0.0006447377428087375,True,True,47.965209234191896,5.298894341741355
18.0,0.3,q0.5,8.297054908829819e-07,0.9999999274343433,0.00021839034593185147,True,True,47.437500271249995,2.323138117500758
18.0,0.3,q0.95,1.123553699332385e-06,0.9999989711344911,0.0003699055061619494,True,True,47.437500271249995,4.712551563975306
18.0,0.3,q0.99,1.0855163511886528e-06,0.9999990167747149,0.00028301691814791585,True,True,47.437500271249995,6.16290617426176
38.0,0.3,q0.5,5.254694602719382e-07,1.0000006030241064,0.0003725267144594757,True,True,37.16054621659397,4.04473747513612
38.0,0.3,q0.95,7.718012335385837e-08,0.9999999091618088,0.00029517881502752474,True,True,37.16054621659397,5.910692870453959
38.0,0.3,q0.99,3.1945865841800024e-08,0.9999999011130835,0.00024213194687217054,True,True,37.16054621659397,7.368495141450859
42.0,0.3,q0.5,4.454816901880353e-06,1.0000055934512098,7.809074025477702e-05,True,True,43.2275741703236,3.0928229509817933
42.0,0.3,q0.95,4.4257268977158516e-06,1.0000059333377127,0.000135619949373611,True,True,43.2275741703236,5.47926575064973
42.0,0.3,q0.99,4.159473907817378e-06,1.0000052093517633,0.00012674708651233546,True,True,43.2275741703236,6.873078343108423
14.0,0.6,q0.5,1.1495080005736957e-05,1.0000312468772028,9.890492309372334e-06,True,True,22.47600979896729,48.65311794963502
14.0,0.6,q0.95,1.0769463297101785e-05,1.000030334844561,8.845361184617317e-06,True,True,22.47600979896729,41.55729256833956
14.0,0.6,q0.99,8.977814996715737e-06,1.0000239069953127,3.174445977260909e-05,True,True,22.47600979896729,44.69475988587913
46.0,0.3,q0.5,1.0642907633214777e-08,0.999999991451294,3.8643371845559216e-05,True,True,48.90046138916854,22.42048041834454
46.0,0.3,q0.95,1.158559172960918e-08,0.9999999895338487,2.1883889141788293e-05,True,True,48.90046138916854,32.04395176970936
46.0,0.3,q0.99,1.1565864131232775e-08,0.9999999896157896,1.9549102793309237e-05,True,True,48.90046138916854,36.84974832619581
42.0,0.3,q0.5,7.082709823308332e-05,0.9999672853196536,0.0007482952079500005,True,True,54.911554447984365,1.9509521197933282
42.0,0.3,q0.95,3.451419282459938e-05,1.000007823892066,0.0023522520418136073,True,True,54.911554447984365,3.6067469119810553
42.0,0.3,q0.99,4.792401678950628e-05,0.9999939605016338,0.0014024143223026891,True,True,54.911554447984365,4.868347417737157
46.0,0.3,q0.5,4.531446876625079e-09,0.9999999955634521,4.5660627615518035e-05,True,True,49.02015544241307,22.366048833860738
46.0,0.3,q0.95,5.163440484921573e-09,0.9999999942395075,2.2020867455507798e-05,True,True,49.02015544241307,31.955911509210903
46.0,0.3,q0.99,5.20840606555047e-09,0.9999999941930199,1.9639434563817337e-05,True,True,49.02015544241307,36.743565477429414
34.0,0.3,q0.5,1.7781085485059286e-06,0.9999991014624767,0.004349311538945355,True,True,45.69092347534633,1.6831568823037348
34.0,0.3,q0.95,1.9849185972446704e-06,1.000001568882521,0.0010902750682292295,True,True,45.69092347534633,3.489241444063273
34.0,0.3,q0.99,1.83820944398874e-06,1.0000014675532212,0.0006568932375039527,True,True,45.69092347534633,4.654195852277489
38.0,0.3,q0.5,0.0003266633705466569,0.9998615897913454,0.00033835910765117605,True,True,56.78810391214193,2.1260187086423876
38.0,0.3,q0.95,0.00041397515281279423,0.9996912436800547,0.0003493383756403845,True,True,56.78810391214193,5.366717703838001
38.0,0.3,q0.99,0.0004015783713037769,0.9997140506353858,0.00016586041096852688,True,True,56.78810391214193,7.108037085994824
14.0,0.6,q0.5,1.1494691311168882e-05,1.0000312458166747,9.890969573267405e-06,True,True,22.47600979896729,48.652951084594314
14.0,0.6,q0.95,1.0768503426506365e-05,1.0000303309140144,8.850535195281672e-06,True,True,22.47600979896729,41.55936132162239
14.0,0.6,q0.99,8.976362443334448e-06,1.000023900798015,3.174401042260744e-05,True,True,22.47600979896729,44.70017888359801
